model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.40909090909090906,0.6666666666666666,0.25757575757575757,0.004251718521118164,0.24885797500610352,0.24460625648498535,0.0,0.0,0.0,2.0,5.0,3.0,0.2,0.1,40.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.4392857142857143,0.18928571428571428,nan,0.3067202568054199,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.4087301587301587,0.15873015873015872,nan,0.0060083866119384766,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.46222222222222226,0.21222222222222226,nan,0.7248899936676025,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.49074074074074076,0.24074074074074076,nan,0.006999492645263672,nan,0.0,0.0,0.0,0.0,4.0,4.0,0.2,0.1,40.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.7665584415584417,0.5165584415584417,nan,0.006558656692504883,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.4246323529411765,0.17463235294117652,nan,0.007942438125610352,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.4392857142857143,0.18928571428571428,nan,0.06864285469055176,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.5256410256410255,0.27564102564102555,nan,0.006546974182128906,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.06365633010864258,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.3583333333333333,0.10833333333333328,nan,0.18900704383850098,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.3712121212121212,0.12121212121212122,nan,0.07746696472167969,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.4329202175140381,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.4173076923076923,0.16730769230769232,nan,0.010984420776367188,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.2,0.1,40.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.7833333333333333,0.5333333333333333,nan,0.007048130035400391,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
