model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,0.75,0.8336132868002273,0.08361328680022728,5.23764443397522,0.2559635639190674,-4.981680870056152,0.0,0.0,0.0,290.0,346.0,56.0,0.1,0.05,25.0,42
Hybrid,2. Slowly Appearing Object: Section 5→2→1,1.0,0.9982456140350877,-0.0017543859649122862,5.260934591293335,0.014450311660766602,-5.246484279632568,0.0,0.0,0.0,255.0,285.0,30.0,0.1,0.05,25.0,42
Hybrid,3. Slowly Appearing Object: Section 5→3,0.75,1.0,0.25,0.050551652908325195,0.051419973373413086,0.0008683204650878906,0.0,0.0,0.0,331.0,361.0,30.0,0.1,0.05,25.0,42
Hybrid,4. Slowly Appearing Object: Section 5→4,0.75,1.0,0.25,5.162984609603882,0.05025792121887207,-5.11272668838501,0.0,0.0,0.0,335.0,335.0,0.0,0.1,0.05,25.0,42
Hybrid,5A. Sudden Object Section 1,0.5,0.9772727272727273,0.4772727272727273,5.059165954589844,0.8170492649078369,-4.242116689682007,0.0,0.0,0.0,0.0,21.5,21.5,0.1,0.05,25.0,42
Hybrid,5B. Sudden Object Section 2,0.49907749077490776,0.75,0.25092250922509224,0.05095791816711426,0.05074596405029297,-0.00021195411682128906,0.0,0.0,0.0,136.0,179.0,43.0,0.1,0.05,25.0,42
Hybrid,5C. Sudden Object Section 3,0.5,0.75,0.25,0.050282955169677734,0.6633994579315186,0.6131165027618408,0.0,0.0,0.0,136.0,163.0,27.0,0.1,0.05,25.0,42
Hybrid,5D. Sudden Object Section 4,0.5,0.735289310232102,0.23528931023210198,0.03098750114440918,0.05100727081298828,0.0200197696685791,0.0,0.0,0.0,136.0,180.0,44.0,0.1,0.05,25.0,42
Hybrid,5E. Sudden Object Section 5,0.5,1.0,0.5,5.1608967781066895,0.05054211616516113,-5.110354661941528,0.0,0.0,0.0,134.0,157.0,23.0,0.1,0.05,25.0,42
Hybrid,6A. Object Path 1→2→5→Free,1.0,1.0,0.0,0.05094623565673828,0.051247596740722656,0.000301361083984375,0.0,0.0,0.0,275.0,279.0,4.0,0.1,0.05,25.0,42
Hybrid,6B. Object Path 1→3→5→Free,1.0,1.0,0.0,3.115485668182373,0.03681516647338867,-3.0786705017089844,0.0,0.0,0.0,275.0,276.0,1.0,0.1,0.05,25.0,42
Hybrid,6C. Object Path 1→4→5→Free,1.0,1.0,0.0,0.05061006546020508,0.76615309715271,0.7155430316925049,0.0,0.0,0.0,271.0,336.0,65.0,0.1,0.05,25.0,42
Hybrid,6D. Object Path 2→5→Free,1.0,1.0,0.0,0.01126551628112793,0.3071322441101074,0.2958667278289795,0.0,0.0,0.0,275.0,279.0,4.0,0.1,0.05,25.0,42
Hybrid,6E. Object Path 3→5→Free,0.75,0.9981568386514856,0.24815683865148563,3.0677144527435303,0.017522811889648438,-3.050191640853882,0.0,0.0,0.0,275.0,282.0,7.0,0.1,0.05,25.0,42
Hybrid,6F. Object Path 4→5→Free,1.0,1.0,0.0,0.0510251522064209,1.379751443862915,1.3287262916564941,0.0,0.0,0.0,270.0,300.0,30.0,0.1,0.05,25.0,42
