model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,0.75,0.0,-0.75,0.002399921417236328,nan,nan,0.0,nan,nan,296.0,nan,nan,0.2,0.1,40.0,42
Hybrid,2. Slowly Appearing Object: Section 5→2→1,1.0,0.0,-1.0,0.05125713348388672,nan,nan,0.0,nan,nan,256.0,nan,nan,0.2,0.1,40.0,42
Hybrid,3. Slowly Appearing Object: Section 5→3,0.75,0.0,-0.75,5.163277864456177,nan,nan,0.0,nan,nan,330.0,nan,nan,0.2,0.1,40.0,42
Hybrid,4. Slowly Appearing Object: Section 5→4,0.75,0.0,-0.75,5.1160783767700195,nan,nan,0.0,nan,nan,335.0,nan,nan,0.2,0.1,40.0,42
Hybrid,5A. Sudden Object Section 1,0.5,0.0,-0.5,5.16605281829834,nan,nan,0.0,nan,nan,0.0,nan,nan,0.2,0.1,40.0,42
Hybrid,5B. Sudden Object Section 2,0.75,0.0,-0.75,0.05440640449523926,nan,nan,0.0,nan,nan,135.0,nan,nan,0.2,0.1,40.0,42
Hybrid,5C. Sudden Object Section 3,0.49907749077490776,0.0,-0.49907749077490776,0.05094265937805176,nan,nan,0.0,nan,nan,136.0,nan,nan,0.2,0.1,40.0,42
Hybrid,5D. Sudden Object Section 4,0.5,0.0,-0.5,0.05077099800109863,nan,nan,0.0,nan,nan,136.0,nan,nan,0.2,0.1,40.0,42
Hybrid,5E. Sudden Object Section 5,0.75,0.0,-0.75,0.05029654502868652,nan,nan,0.0,nan,nan,136.0,nan,nan,0.2,0.1,40.0,42
Hybrid,6A. Object Path 1→2→5→Free,1.0,0.0,-1.0,0.022194623947143555,nan,nan,0.0,nan,nan,271.0,nan,nan,0.2,0.1,40.0,42
Hybrid,6B. Object Path 1→3→5→Free,1.0,0.0,-1.0,0.022386550903320312,nan,nan,0.0,nan,nan,270.0,nan,nan,0.2,0.1,40.0,42
Hybrid,6C. Object Path 1→4→5→Free,1.0,0.0,-1.0,3.1713390350341797,nan,nan,0.0,nan,nan,275.0,nan,nan,0.2,0.1,40.0,42
Hybrid,6D. Object Path 2→5→Free,0.4989795918367347,0.0,-0.4989795918367347,0.0314936637878418,nan,nan,0.0,nan,nan,123.0,nan,nan,0.2,0.1,40.0,42
Hybrid,6E. Object Path 3→5→Free,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,0.1,40.0,42
Hybrid,6F. Object Path 4→5→Free,0.0,1.0,1.0,nan,3.1539955139160156,nan,nan,0.0,nan,nan,273.0,nan,0.2,0.1,40.0,42
