model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.75,0.9689471989095763,0.21894719890957626,5.174317121505737,0.20445942878723145,-4.969857692718506,0.0,0.0,0.0,290.0,407.0,117.0,0.1,0.05,25.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,1.0,0.9605526389331206,-0.039447361066879405,5.279598712921143,1.3305318355560303,-3.9490668773651123,0.0,0.030864197530864196,0.030864197530864196,250.0,300.0,50.0,0.1,0.05,25.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.75,0.8687760497304711,0.11877604973047107,0.05084514617919922,0.051122426986694336,0.0002772808074951172,0.0,0.26666666666666666,0.26666666666666666,331.0,368.0,37.0,0.1,0.05,25.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.75,0.9191522318056877,0.16915223180568772,0.0002884864807128906,0.027101755142211914,0.026813268661499023,0.0,0.0,0.0,331.0,359.0,28.0,0.1,0.05,25.0,42
Sequence,5A. Sudden Object Section 1,0.75,0.8594525571540894,0.10945255715408941,0.027172088623046875,0.3587934970855713,0.3316214084625244,0.0,0.0,0.0,1.0,60.0,59.0,0.1,0.05,25.0,42
Sequence,5B. Sudden Object Section 2,0.5,0.8067755151330327,0.3067755151330327,0.012806177139282227,0.6670799255371094,0.6542737483978271,0.0,0.0,0.0,136.0,168.0,32.0,0.1,0.05,25.0,42
Sequence,5C. Sudden Object Section 3,0.5,0.8678028767038055,0.3678028767038055,0.0508725643157959,0.4102315902709961,0.3593590259552002,0.0,0.0,0.0,136.0,179.0,43.0,0.1,0.05,25.0,42
Sequence,5D. Sudden Object Section 4,0.75,0.8003092287175411,0.050309228717541066,0.05059409141540527,0.05066728591918945,7.319450378417969e-05,0.0,0.0,0.0,136.0,168.0,32.0,0.1,0.05,25.0,42
Sequence,5E. Sudden Object Section 5,0.5056219175602914,0.4143348197696024,-0.091287097790689,0.02536940574645996,0.05115771293640137,0.025788307189941406,0.0,0.0,0.0,137.0,199.0,62.0,0.1,0.05,25.0,42
Sequence,6A. Object Path 1→2→5→Free,1.0,0.9663578611607685,-0.033642138839231506,0.0003085136413574219,0.05077624320983887,0.050467729568481445,0.0,0.0,0.0,271.0,306.0,35.0,0.1,0.05,25.0,42
Sequence,6B. Object Path 1→3→5→Free,1.0,0.9599112368837388,-0.040088763116261195,3.2809464931488037,0.10208725929260254,-3.178859233856201,0.0,0.017094017094017096,0.017094017094017096,275.0,288.0,13.0,0.1,0.05,25.0,42
Sequence,6C. Object Path 1→4→5→Free,1.0,0.9383332168137253,-0.06166678318627472,0.029688358306884766,1.5354697704315186,1.5057814121246338,0.0,0.0,0.0,276.0,296.0,20.0,0.1,0.05,25.0,42
Sequence,6D. Object Path 2→5→Free,0.75,0.7191603774692554,-0.03083962253074457,3.124147653579712,0.044302940368652344,-3.0798447132110596,0.0,0.0,0.0,275.0,293.0,18.0,0.1,0.05,25.0,42
Sequence,6E. Object Path 3→5→Free,0.75,0.9504178244114312,0.2004178244114312,3.0739009380340576,1.229215145111084,-1.8446857929229736,0.0,0.0,0.0,275.0,297.0,22.0,0.1,0.05,25.0,42
Sequence,6F. Object Path 4→5→Free,0.75,0.9242380048967336,0.17423800489673358,3.228426694869995,0.05133247375488281,-3.1770942211151123,0.0,0.0,0.0,270.0,143.5,-126.5,0.1,0.05,25.0,42
