model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.75,0.9303350915519474,0.18033509155194738,5.195189714431763,0.25588297843933105,-4.939306735992432,0.0,0.0,0.0,290.0,427.0,137.0,0.2,0.1,40.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,1.0,0.9521464861929879,-0.04785351380701208,5.277029514312744,0.03241133689880371,-5.24461817741394,0.0,0.11643835616438356,0.11643835616438356,250.0,331.0,81.0,0.2,0.1,40.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.75,0.8997583711727797,0.14975837117277968,0.05125260353088379,0.016242504119873047,-0.03501009941101074,0.0,0.0,0.0,330.0,369.0,39.0,0.2,0.1,40.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.75,0.8847159946155292,0.1347159946155292,5.170976400375366,0.3588697910308838,-4.812106609344482,0.0,0.23333333333333334,0.23333333333333334,330.0,404.0,74.0,0.2,0.1,40.0,42
Sequence,5A. Sudden Object Section 1,0.5,0.7675609540860664,0.2675609540860664,5.118768930435181,0.05083155632019043,-5.06793737411499,0.0,0.025,0.025,0.0,113.0,113.0,0.2,0.1,40.0,42
Sequence,5B. Sudden Object Section 2,0.5,0.9177937998360534,0.41779379983605336,0.0506744384765625,0.05128312110900879,0.0006086826324462891,0.0,0.0,0.0,136.0,211.0,75.0,0.2,0.1,40.0,42
Sequence,5C. Sudden Object Section 3,0.5,0.852224900520355,0.35222490052035504,0.044460296630859375,0.02862858772277832,-0.015831708908081055,0.0,0.0,0.0,136.0,224.0,88.0,0.2,0.1,40.0,42
Sequence,5D. Sudden Object Section 4,0.5,0.8695113419164052,0.3695113419164052,5.170828104019165,0.05090594291687012,-5.119922161102295,0.0,0.0,0.0,135.0,205.0,70.0,0.2,0.1,40.0,42
Sequence,5E. Sudden Object Section 5,0.2590659708283153,0.476812641953431,0.2177466711251157,0.021241426467895508,0.05088162422180176,0.02964019775390625,0.0,0.0,0.0,138.0,230.0,92.0,0.2,0.1,40.0,42
Sequence,6A. Object Path 1→2→5→Free,1.0,0.9270476427541819,-0.07295235724581806,0.02751612663269043,0.05032658576965332,0.02281045913696289,0.0,0.10377358490566038,0.10377358490566038,276.0,329.0,53.0,0.2,0.1,40.0,42
Sequence,6B. Object Path 1→3→5→Free,1.0,0.8818845911288629,-0.11811540887113714,3.1766269207000732,0.014596939086914062,-3.162029981613159,0.0,0.17272727272727273,0.17272727272727273,270.0,355.0,85.0,0.2,0.1,40.0,42
Sequence,6C. Object Path 1→4→5→Free,1.0,0.8816311168184547,-0.11836888318154526,3.052539587020874,0.0002942085266113281,-3.0522453784942627,0.0,0.0,0.0,275.0,327.0,52.0,0.2,0.1,40.0,42
Sequence,6D. Object Path 2→5→Free,0.75,0.9326254233290603,0.1826254233290603,3.2735302448272705,0.00842428207397461,-3.265105962753296,0.0,0.0,0.0,270.0,301.0,31.0,0.2,0.1,40.0,42
Sequence,6E. Object Path 3→5→Free,0.75,0.8782600235547134,0.12826002355471344,3.274081230163574,0.05121183395385742,-3.222869396209717,0.0,0.18181818181818182,0.18181818181818182,270.0,319.0,49.0,0.2,0.1,40.0,42
Sequence,6F. Object Path 4→5→Free,0.75,0.8589450690675351,0.1089450690675351,3.2087833881378174,0.25641870498657227,-2.952364683151245,0.0,0.13043478260869565,0.13043478260869565,270.0,307.0,37.0,0.2,0.1,40.0,42
