model,scenario,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,mttd_mean,mttd_std,mttd_ci_lower,mttd_ci_upper,fnr_mean,fnr_std,fnr_ci_lower,fnr_ci_upper,n
Bayesian Fusion,1. Parking Scenario,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,2. Slowly Appearing Object: Section 5→2→1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,3. Slowly Appearing Object: Section 5→3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,4. Slowly Appearing Object: Section 5→4,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,5A. Sudden Object Section 1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,5B. Sudden Object Section 2,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,5C. Sudden Object Section 3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,5D. Sudden Object Section 4,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,5E. Sudden Object Section 5,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,6A. Object Path 1→2→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,6B. Object Path 1→3→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,6C. Object Path 1→4→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,6D. Object Path 2→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,6E. Object Path 3→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Bayesian Fusion,6F. Object Path 4→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Hybrid,1. Parking Scenario,0.8003752244087995,0.04843611343005249,0.7495826377295493,0.8460481530223563,0.050520737965901695,0.0002498928505626067,0.050232887268066406,0.05068206787109375,0.0,0.0,0.0,0.0,3
Hybrid,2. Slowly Appearing Object: Section 5→2→1,0.9990799292931869,0.00013825002536166063,0.9989270386266095,0.9991961414790996,0.04843576749165853,0.00011206417194315827,0.04836916923522949,0.04856514930725098,0.0,0.0,0.0,0.0,3
Hybrid,3. Slowly Appearing Object: Section 5→3,0.9138900802973756,0.1438318930576657,0.7478337096803805,0.9994824016563145,0.04688882827758789,0.003050685830265389,0.04338812828063965,0.04897904396057129,0.0,0.0,0.0,0.0,3
Hybrid,4. Slowly Appearing Object: Section 5→4,0.9159157859205355,0.14448629052766718,0.7490774907749079,0.9994949494949493,0.04883329073588053,0.0001251355381778834,0.0487055778503418,0.048955678939819336,0.0,0.0,0.0,0.0,3
Hybrid,5A. Sudden Object Section 1,0.8049886621315192,0.2672630455806303,0.5,0.9982993197278912,0.03882408142089844,0.01703309190523045,0.01915597915649414,0.04868125915527344,0.0,0.0,0.0,0.0,3
Hybrid,5B. Sudden Object Section 2,0.8266618049831282,0.28289743199329304,0.5,0.9900695337291556,0.049154043197631836,0.0002289341082090239,0.0489811897277832,0.04941368103027344,0.0,0.0,0.0,0.0,3
Hybrid,5C. Sudden Object Section 3,0.748952120357156,0.2500906138025132,0.49907749077490776,0.9992581602373886,0.06588959693908691,0.029400138492330447,0.048676490783691406,0.09983682632446289,0.0,0.0,0.0,0.0,3
Hybrid,5D. Sudden Object Section 4,0.9160473717034536,0.1438013992986824,0.75,0.9992836676217766,0.049123684565226235,0.00032168713112685186,0.048784494400024414,0.04942440986633301,0.0,0.0,0.0,0.0,3
Hybrid,5E. Sudden Object Section 5,0.7494422070750454,0.0004859605798774742,0.7491103202846975,0.75,0.16802597045898438,0.16352774263696107,0.04931282997131348,0.3545506000518799,0.0,0.0,0.0,0.0,3
Hybrid,6A. Object Path 1→2→5→Free,0.9986726394316104,0.0004103337949120539,0.99822695035461,0.9990347490347492,0.04895885785420736,0.00012645118482282008,0.04881930351257324,0.04906582832336426,0.0,0.0,0.0,0.0,3
Hybrid,6B. Object Path 1→3→5→Free,0.9976084949018001,0.0027100305431760584,0.9944811317604048,0.9992668621700881,0.04876375198364258,0.00025191842296776943,0.048499345779418945,0.04900097846984863,0.0,0.0,0.0,0.0,3
Hybrid,6C. Object Path 1→4→5→Free,0.9986134517919751,0.0008942780677061074,0.997582536732165,0.9991460488375375,0.047409772872924805,0.0025828171663917986,0.04443502426147461,0.04908180236816406,0.0,0.0,0.0,0.0,3
Hybrid,6D. Object Path 2→5→Free,0.9126400410164649,0.144797937534175,0.7454796976073572,0.9993036211699163,0.04874046643575033,0.00013669627578257354,0.04858660697937012,0.04884791374206543,0.0,0.0,0.0,0.0,3
Hybrid,6E. Object Path 3→5→Free,0.9148215841555057,0.14354606743034942,0.7490774907749079,0.9991582491582491,0.049170494079589844,0.00015697052667089408,0.04907107353210449,0.04935145378112793,0.0,0.0,0.0,0.0,3
Hybrid,6F. Object Path 4→5→Free,0.913164358272883,0.1420803455457759,0.7491349480968857,0.9979338842975207,0.04553325970967611,0.006305977210519995,0.03825187683105469,0.049211978912353516,0.0,0.0,0.0,0.0,3
Rule Based,1. Parking Scenario,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,2. Slowly Appearing Object: Section 5→2→1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,3. Slowly Appearing Object: Section 5→3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,4. Slowly Appearing Object: Section 5→4,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,5A. Sudden Object Section 1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,5B. Sudden Object Section 2,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,5C. Sudden Object Section 3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,5D. Sudden Object Section 4,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,5E. Sudden Object Section 5,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,6A. Object Path 1→2→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,6B. Object Path 1→3→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,6C. Object Path 1→4→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,6D. Object Path 2→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,6E. Object Path 3→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Rule Based,6F. Object Path 4→5→Free,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,3
Sequence,1. Parking Scenario,0.9725371124830587,0.02758985491982295,0.9444283454543808,0.9995769881556683,0.05110891660054525,7.104486949902064e-05,0.05106163024902344,0.05119061470031738,0.017921146953405017,0.031040337053205688,0.0,0.053763440860215055,3
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.9607853339032956,0.03380226150206266,0.9393523663902399,0.9989626556016598,0.04895170529683431,0.00011106118175695206,0.04885268211364746,0.0490717887878418,0.04142011834319526,0.07174174942592983,0.0,0.12426035502958581,3
Sequence,3. Slowly Appearing Object: Section 5→3,0.8097467530898751,0.07081209465195233,0.75,0.8879636594026129,0.048948446909586586,0.0001948377770495745,0.048726558685302734,0.04909157752990723,0.2638888888888889,0.35437085617147424,0.0,0.6666666666666666,3
Sequence,4. Slowly Appearing Object: Section 5→4,0.9136191418066605,0.07409541524241336,0.8673145647351884,0.9990774907749079,0.04906916618347168,0.0003469147629464958,0.04870748519897461,0.04939913749694824,0.07094017094017094,0.08605356393987601,0.0,0.16666666666666666,3
Sequence,5A. Sudden Object Section 1,0.7921978836439711,0.051201689508317764,0.7490774907749079,0.8487878787878788,0.049363931020100914,0.0004075577383259341,0.04893970489501953,0.04975247383117676,0.018018018018018018,0.031208122658898694,0.0,0.05405405405405406,3
Sequence,5B. Sudden Object Section 2,0.8284116059097638,0.07808438534833477,0.7490774907749079,0.9051831762358078,0.04947670300801595,0.00011752012683503412,0.049355268478393555,0.04958987236022949,0.0,0.0,0.0,0.0,3
Sequence,5C. Sudden Object Section 3,0.7454874966473733,0.23358993283409915,0.49579583410651323,0.9586781747659637,0.049406210581461586,0.0002214992434007007,0.04918360710144043,0.04962658882141113,0.09999999999999999,0.17320508075688773,0.0,0.3,3
Sequence,5D. Sudden Object Section 4,0.7206721539518441,0.20087078052454507,0.4990842490842491,0.8908224100174564,0.04954346021016439,0.00016097215471033106,0.0493624210357666,0.04967045783996582,0.13703703703703704,0.15167107577365385,0.0,0.3,3
Sequence,5E. Sudden Object Section 5,0.3859576070195312,0.11772820407820245,0.26011424924845916,0.49340475068821527,0.5233422120412191,0.8206552186247894,0.049425363540649414,1.4709532260894775,0.3,0.5196152422706632,0.0,0.9,3
Sequence,6A. Object Path 1→2→5→Free,0.9562459406399632,0.058452118364842036,0.8893131847065594,0.9972392554807902,0.04944698015848795,7.075222813710169e-05,0.04936575889587402,0.04949522018432617,0.038461538461538464,0.06661733875264912,0.0,0.11538461538461538,3
Sequence,6B. Object Path 1→3→5→Free,0.9465029288555283,0.058900006768762454,0.8810925725932389,0.9953426899558898,0.05458331108093262,0.00939285274268529,0.04913735389709473,0.0654292106628418,0.05102040816326531,0.08836993916167742,0.0,0.15306122448979592,3
Sequence,6C. Object Path 1→4→5→Free,0.9407993887901664,0.06348998013448945,0.8731700082862872,0.9991228070175439,0.049140612284342446,0.00010449816785304397,0.04906296730041504,0.04925942420959473,0.02,0.03464101615137754,0.0,0.06,3
Sequence,6D. Object Path 2→5→Free,0.8634521863491821,0.10048266430553528,0.75,0.9412309963408906,0.05481529235839844,0.009429522268750809,0.04917764663696289,0.06570124626159668,0.08771929824561403,0.15193428136569098,0.0,0.2631578947368421,3
Sequence,6E. Object Path 3→5→Free,0.8508088143373262,0.0946205594461617,0.74822695035461,0.9346692283061159,0.049319823582967125,5.5580854520381016e-05,0.049262046813964844,0.04937291145324707,0.3333333333333333,0.5773502691896258,0.0,1.0,3
Sequence,6F. Object Path 4→5→Free,0.8416104861147936,0.09411818123902284,0.75,0.9380504125927467,0.049059391021728516,0.00012209755064641702,0.048978328704833984,0.049199819564819336,0.13333333333333333,0.23094010767585033,0.0,0.4000000000000001,3
SmallMLP,1. Parking Scenario,0.9827877116050004,0.008202694920152848,0.9751456649161256,0.9914547173840834,0.01748204231262207,0.029222904285827328,0.0005452632904052734,0.05122566223144531,0.0,0.0,0.0,0.0,3
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.9749188447118374,0.017549963660105604,0.9547070874053355,0.9862955004534587,0.049402316411336265,7.398982991907055e-05,0.04935264587402344,0.04948735237121582,0.0,0.0,0.0,0.0,3
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.49043298396559826,0.4248050692285456,0.0,0.7437712381475081,0.04949653148651123,0.0005656107070161979,0.04909658432006836,0.0498964786529541,0.0,0.0,0.0,0.0,3
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.6515003080804547,0.5644752183792595,0.0,0.9943613823945051,0.04974865913391113,0.00024984651797257983,0.049571990966796875,0.04992532730102539,0.0,0.0,0.0,0.0,3
SmallMLP,5A. Sudden Object Section 1,0.5736160301982525,0.509091905042034,0.0,0.9717705998198496,0.04963076114654541,7.434704077321708e-05,0.049578189849853516,0.049683332443237305,0.0,0.0,0.0,0.0,3
SmallMLP,5B. Sudden Object Section 2,0.5403970894508809,0.49120358287437293,0.0,0.9597908053896799,0.049982547760009766,6.440038452464609e-05,0.04993700981140137,0.050028085708618164,0.0,0.0,0.0,0.0,3
SmallMLP,5C. Sudden Object Section 3,0.48584476976792446,0.4793621724157299,0.0,0.9584500602195242,0.049866437911987305,5.731971397481588e-06,0.04986238479614258,0.04987049102783203,0.0,0.0,0.0,0.0,3
SmallMLP,5D. Sudden Object Section 4,0.4883139013384796,0.4830220603117982,0.0,0.9658642132405308,0.04986071586608887,0.0004878919183621093,0.049515724182128906,0.05020570755004883,0.0,0.0,0.0,0.0,3
SmallMLP,5E. Sudden Object Section 5,0.40787410421556763,0.37078068892936156,0.0,0.7245380635624539,0.04962658882141113,4.046097457045827e-05,0.049597978591918945,0.04965519905090332,0.0,0.0,0.0,0.0,3
SmallMLP,6A. Object Path 1→2→5→Free,0.6587366392415661,0.5705047414933022,0.0,0.9931239385280373,0.04966449737548828,0.0005863469564835578,0.049249887466430664,0.0500791072845459,0.0,0.0,0.0,0.0,3
SmallMLP,6B. Object Path 1→3→5→Free,0.6580805474288924,0.5699698528334813,0.0,0.995066131759503,0.04934954643249512,4.180967372280688e-05,0.04931998252868652,0.04937911033630371,0.0,0.0,0.0,0.0,3
SmallMLP,6C. Object Path 1→4→5→Free,0.6531097249356196,0.5658205415486505,0.0,0.9951129088105496,0.04977250099182129,0.00041708521286380735,0.049477577209472656,0.05006742477416992,0.0,0.0,0.0,0.0,3
SmallMLP,6D. Object Path 2→5→Free,0.9007349572397146,0.13743742633979125,0.7422846382373743,0.9876522208059614,1.0921271642049153,1.8358643380757127,0.02214980125427246,3.2119688987731934,0.0,0.0,0.0,0.0,3
SmallMLP,6E. Object Path 3→5→Free,0.98880295468086,0.011831891348031436,0.97528155114362,0.9972584684328455,0.04967395464579264,0.0001575404471582212,0.04950237274169922,0.04981207847595215,0.0,0.0,0.0,0.0,3
SmallMLP,6F. Object Path 4→5→Free,0.9012140242847444,0.1346307209026978,0.7463760504201681,0.9906468531468531,0.03333202997843424,0.028296895868982437,0.0006592273712158203,0.049951791763305664,0.0,0.0,0.0,0.0,3
XGBoost,1. Parking Scenario,0.7802155505509107,0.03282177884372559,0.7430231693315902,0.805121594636999,0.017958720525105793,0.008669528648308599,0.009982109069824219,0.027185440063476562,0.0,0.0,0.0,0.0,3
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.9311046142486794,0.05556329650571743,0.882173450016206,0.9915088356508338,0.03683916727701823,0.018976446492182417,0.018143177032470703,0.05608415603637695,0.0,0.0,0.0,0.0,3
XGBoost,3. Slowly Appearing Object: Section 5→3,0.8300086298650733,0.07592732967857914,0.7425925925925926,0.879529282396704,0.04918058713277181,0.012955490981644007,0.03422141075134277,0.05676984786987305,0.0,0.0,0.0,0.0,3
XGBoost,4. Slowly Appearing Object: Section 5→4,0.8409364968387716,0.08529463171775495,0.7433051444679352,0.9009888751893552,0.02438815434773763,0.027551466844222088,0.000858306884765625,0.054696083068847656,0.0,0.0,0.0,0.0,3
XGBoost,5A. Sudden Object Section 1,0.7730074633466266,0.09791684386990113,0.6599428412929557,0.8295815276728161,0.0375967820485433,0.031962068042537435,0.0006947517395019531,0.05655169486999512,0.0,0.0,0.0,0.0,3
XGBoost,5B. Sudden Object Section 2,0.7907786856567002,0.11611243341011024,0.6597923681257014,0.8810515873015875,0.03779443105061849,0.032414368307012754,0.0003657341003417969,0.056612491607666016,0.0,0.0,0.0,0.0,3
XGBoost,5C. Sudden Object Section 3,0.6624774687701204,0.16771902382658413,0.4906808510638297,0.8257974319704267,0.018154223759969074,0.02825659913776101,0.0006825923919677734,0.05075407028198242,0.0,0.0,0.0,0.0,3
XGBoost,5D. Sudden Object Section 4,0.6830406128108851,0.18910405092068877,0.49117987275882014,0.8692618151213743,0.0012404918670654297,0.0009997772045602018,0.0006573200225830078,0.0023949146270751953,0.0,0.0,0.0,0.0,3
XGBoost,5E. Sudden Object Section 5,0.7057819341532617,0.10239280025523108,0.6361204954954955,0.8233456488177747,0.041269938151041664,0.026646244899583137,0.010507345199584961,0.05717039108276367,0.0,0.0,0.0,0.0,3
