model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.5,0.25,-0.25,0.050018310546875,nan,nan,0.0,0.0,0.0,5.0,0.0,-5.0,0.1,0.05,25.0,42
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.25,0.24358974358974358,-0.006410256410256415,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.25,0.4208333333333333,0.17083333333333328,nan,0.13516759872436523,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.1,0.05,25.0,42
SmallMLP,5A. Sudden Object Section 1,0.25,0.4555555555555556,0.2055555555555556,nan,0.5674231052398682,nan,0.0,0.0,0.0,0.0,4.0,4.0,0.1,0.05,25.0,42
SmallMLP,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.32382941246032715,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
SmallMLP,5C. Sudden Object Section 3,0.25,0.468013468013468,0.218013468013468,nan,0.6982853412628174,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
SmallMLP,5D. Sudden Object Section 4,0.25,0.24358974358974358,-0.006410256410256415,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,5E. Sudden Object Section 5,0.25,0.474937343358396,0.224937343358396,nan,0.12234616279602051,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.1,0.05,25.0,42
SmallMLP,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.03417038917541504,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
SmallMLP,6B. Object Path 1→3→5→Free,0.25,0.75,0.5,nan,0.05046248435974121,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.05,25.0,42
SmallMLP,6C. Object Path 1→4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,6D. Object Path 2→5→Free,0.25,0.46865203761755486,0.21865203761755486,nan,0.42890095710754395,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
SmallMLP,6E. Object Path 3→5→Free,0.25,0.5,0.25,nan,0.6894500255584717,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
SmallMLP,6F. Object Path 4→5→Free,0.25,0.7011278195488722,0.45112781954887216,nan,0.03556466102600098,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
