model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.5,0.25,-0.25,0.050185203552246094,nan,nan,0.0,0.0,0.0,5.0,0.0,-5.0,0.1,0.05,25.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,5A. Sudden Object Section 1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.27132630348205566,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
Sequence,5C. Sudden Object Section 3,0.25,0.375,0.125,nan,0.3887777328491211,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
Sequence,5D. Sudden Object Section 4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,5E. Sudden Object Section 5,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6A. Object Path 1→2→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6B. Object Path 1→3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6C. Object Path 1→4→5→Free,0.25,0.3021978021978022,0.05219780219780218,nan,0.30892252922058105,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
Sequence,6D. Object Path 2→5→Free,0.25,0.4629726890756303,0.21297268907563027,nan,0.16197848320007324,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.1,0.05,25.0,42
Sequence,6E. Object Path 3→5→Free,0.25,0.33035714285714285,0.08035714285714285,nan,0.21460294723510742,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.1,0.05,25.0,42
Sequence,6F. Object Path 4→5→Free,0.25,0.24358974358974358,-0.006410256410256415,nan,0.02488398551940918,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
