model,condition,seed,csv_path,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,mttd_mean,mttd_std,nmr_mean,nmr_std
RB,baseline,42,results/robustness_quick_final\rb\baseline\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
RB,moderate,42,results/robustness_quick_final\rb\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
RB,severe,42,results/robustness_quick_final\rb\severe\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
BF,baseline,42,results/robustness_quick_final\bf\baseline\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
BF,moderate,42,results/robustness_quick_final\bf\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
BF,severe,42,results/robustness_quick_final\bf\severe\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
DS,baseline,42,,,,,,,,,,,,,
DS,moderate,42,,,,,,,,,,,,,
DS,severe,42,,,,,,,,,,,,,
XGB,baseline,42,results/robustness_quick_final\xgb\baseline\robustness_degradation_summary.csv,,,,,-0.01108225108225108,0.0,0.0,0.0,nan,0.0,-0.13333333333333333,0.0
XGB,moderate,42,results/robustness_quick_final\xgb\moderate\robustness_degradation_summary.csv,,,,,0.1526934176934177,0.0,0.0,0.0,0.19737648963928223,0.0,4.566666666666666,0.0
XGB,severe,42,results/robustness_quick_final\xgb\severe\robustness_degradation_summary.csv,,,,,0.20470275308370267,0.0,0.0,0.0,0.022652745246887207,0.0,8.066666666666666,0.0
SMLP,baseline,42,results/robustness_quick_final\smlp\baseline\robustness_degradation_summary.csv,,,,,0.0004273504273504277,0.0,0.0,0.0,nan,0.0,0.0,0.0
SMLP,moderate,42,results/robustness_quick_final\smlp\moderate\robustness_degradation_summary.csv,,,,,0.20926091380439207,0.0,0.0,0.0,0.5488429069519043,0.0,4.333333333333333,0.0
SMLP,severe,42,results/robustness_quick_final\smlp\severe\robustness_degradation_summary.csv,,,,,0.32792678943359527,0.0,0.0,0.0,0.27858901023864746,0.0,7.133333333333334,0.0
TS,baseline,42,results/robustness_quick_final\ts\baseline\robustness_degradation_summary.csv,,,,,-0.016666666666666666,0.0,0.0,0.0,nan,0.0,-0.3333333333333333,0.0
TS,moderate,42,results/robustness_quick_final\ts\moderate\robustness_degradation_summary.csv,,,,,0.18611129611129612,0.0,0.0,0.0,0.2753300666809082,0.0,8.266666666666667,0.0
TS,severe,42,results/robustness_quick_final\ts\severe\robustness_degradation_summary.csv,,,,,0.17027492600702318,0.0,0.0,0.0,0.07570779323577881,0.0,8.666666666666666,0.0
HB,baseline,42,results/robustness_quick_final\hb\baseline\robustness_degradation_summary.csv,,,,,0.0004273504273504277,0.0,0.0,0.0,nan,0.0,-0.3333333333333333,0.0
HB,moderate,42,results/robustness_quick_final\hb\moderate\robustness_degradation_summary.csv,,,,,0.22324929971988797,0.0,0.0,0.0,0.37689757347106934,0.0,5.466666666666667,0.0
HB,severe,42,results/robustness_quick_final\hb\severe\robustness_degradation_summary.csv,,,,,0.2950980392156863,0.0,0.0,0.0,0.17101645469665527,0.0,7.6,0.0
