model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.5,0.43214285714285716,-0.06785714285714284,0.05063486099243164,0.5994777679443359,0.5488429069519043,0.0,0.0,0.0,0.0,4.0,4.0,0.1,0.05,25.0,42
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.25,0.6666666666666666,0.41666666666666663,nan,0.4506657123565674,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
SmallMLP,5A. Sudden Object Section 1,0.24358974358974358,0.7055555555555555,0.4619658119658119,nan,0.0036134719848632812,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.1,0.05,25.0,42
SmallMLP,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.47368717193603516,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,5C. Sudden Object Section 3,0.25,0.5,0.25,nan,0.6853275299072266,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
SmallMLP,5D. Sudden Object Section 4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,5E. Sudden Object Section 5,0.25,0.49,0.24,nan,0.10332107543945312,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
SmallMLP,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.01689314842224121,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.1,0.05,25.0,42
SmallMLP,6B. Object Path 1→3→5→Free,0.25,0.75,0.5,nan,0.2907750606536865,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
SmallMLP,6C. Object Path 1→4→5→Free,0.25,0.6972222222222222,0.4472222222222222,nan,0.35906100273132324,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.1,0.05,25.0,42
SmallMLP,6D. Object Path 2→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,6E. Object Path 3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
SmallMLP,6F. Object Path 4→5→Free,0.25,0.640916149068323,0.39091614906832295,nan,0.24991154670715332,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
