model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.5,0.5369318181818181,0.03693181818181812,0.04981040954589844,0.24540305137634277,0.19559264183044434,0.0,0.0,0.0,5.0,12.0,7.0,0.2,0.1,40.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.5,0.75,0.25,0.04909491539001465,0.00491786003112793,-0.04417705535888672,0.0,0.0,0.0,5.0,18.0,13.0,0.2,0.1,40.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.25,0.5785714285714285,0.3285714285714285,nan,0.3428802490234375,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
Sequence,5A. Sudden Object Section 1,0.25,0.75,0.5,nan,0.20531964302062988,nan,0.0,0.0,0.0,0.0,16.0,16.0,0.2,0.1,40.0,42
Sequence,5B. Sudden Object Section 2,0.25,0.4375,0.1875,nan,0.01199650764465332,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
Sequence,5C. Sudden Object Section 3,0.25,0.2625,0.012500000000000011,nan,0.02585315704345703,nan,0.0,0.0,0.0,0.0,16.0,16.0,0.2,0.1,40.0,42
Sequence,5D. Sudden Object Section 4,0.25,0.4722222222222222,0.2222222222222222,nan,0.0401766300201416,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
Sequence,5E. Sudden Object Section 5,0.25,0.3928571428571429,0.1428571428571429,nan,0.7702679634094238,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
Sequence,6A. Object Path 1→2→5→Free,0.25,0.2670807453416149,0.01708074534161491,nan,0.019274473190307617,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
Sequence,6B. Object Path 1→3→5→Free,0.25,0.7029914529914529,0.45299145299145294,nan,0.33649730682373047,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
Sequence,6C. Object Path 1→4→5→Free,0.25,0.5,0.25,nan,0.1386263370513916,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
Sequence,6D. Object Path 2→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Sequence,6E. Object Path 3→5→Free,0.25,0.3393665158371041,0.08936651583710409,nan,0.018397808074951172,nan,0.0,0.0,0.0,0.0,15.0,15.0,0.2,0.1,40.0,42
Sequence,6F. Object Path 4→5→Free,0.25,0.3141025641025641,0.0641025641025641,nan,0.2884092330932617,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
