model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.40909090909090906,0.43560606060606055,0.02651515151515149,0.005818367004394531,0.20319485664367676,0.19737648963928223,0.0,0.0,0.0,2.0,7.0,5.0,0.1,0.05,25.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.4226190476190476,0.17261904761904762,nan,0.03343963623046875,nan,0.0,0.0,0.0,0.0,3.5,3.5,0.1,0.05,25.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.5,0.25,nan,0.9932527542114258,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.4182692307692307,0.16826923076923073,nan,0.03040003776550293,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.7641189098358154,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.42727272727272725,0.17727272727272725,nan,0.040384531021118164,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.35833333333333334,0.10833333333333334,nan,0.0013103485107421875,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.1,0.05,25.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.4291666666666667,0.1791666666666667,nan,0.48453545570373535,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.4365079365079365,0.1865079365079365,nan,0.3993830680847168,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.42727272727272725,0.17727272727272725,nan,0.0009944438934326172,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.41666666666666663,0.16666666666666663,nan,0.05049872398376465,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.5055555555555556,0.25555555555555565,nan,0.07185029983520508,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.1,0.05,25.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.4222222222222223,0.17222222222222228,nan,0.08194708824157715,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
