model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.4086021505376344,0.43333333333333335,0.02473118279569897,0.018313169479370117,0.10325908660888672,0.0849459171295166,0.0,0.0,0.0,2.0,11.0,9.0,0.2,0.1,40.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.6271929824561403,0.3771929824561403,nan,0.18391180038452148,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.4007936507936508,0.1507936507936508,nan,0.006132841110229492,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.7153679653679653,0.4653679653679653,nan,0.6077373027801514,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.4065934065934066,0.1565934065934066,nan,0.00654911994934082,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
XGBoost,5B. Sudden Object Section 2,0.24285714285714285,0.47017543859649125,0.2273182957393484,nan,0.4301939010620117,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
XGBoost,5C. Sudden Object Section 3,0.43560606060606055,0.4413793103448276,0.005773249738767028,0.04691791534423828,0.007277488708496094,-0.03964042663574219,0.0,0.0,0.0,7.0,15.0,8.0,0.2,0.1,40.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.6071428571428572,0.3571428571428572,nan,0.009511470794677734,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.5095238095238095,0.2595238095238095,nan,0.01342320442199707,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.012502193450927734,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.3085169792175293,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.5666666666666667,0.31666666666666665,nan,0.07444334030151367,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.3741621971130371,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.4226190476190476,0.17261904761904762,nan,0.013637065887451172,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
