model,condition,seed,csv_path,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,mttd_mean,mttd_std,nmr_mean,nmr_std
RB,baseline,42,results/robustness_quick_final3\rb\baseline\robustness_canbussimulator_20260516_185237.csv,,,,,0.0,0.0,,,,,,
RB,moderate,42,results/robustness_quick_final3\rb\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
RB,severe,42,results/robustness_quick_final3\rb\severe\robustness_canbussimulator_20260516_185341.csv,,,,,0.0,0.0,,,,,,
BF,baseline,42,results/robustness_quick_final3\bf\baseline\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
BF,moderate,42,results/robustness_quick_final3\bf\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
BF,severe,42,results/robustness_quick_final3\bf\severe\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
DS,baseline,42,results/robustness_quick_final3\ds\baseline\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
DS,moderate,42,results/robustness_quick_final3\ds\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
DS,severe,42,results/robustness_quick_final3\ds\severe\robustness_degradation_summary.csv,,,,,0.0,0.0,,,,,,
XGB,baseline,42,results/robustness_quick_final3\xgb\baseline\robustness_degradation_summary.csv,,,,,-0.010606060606060603,0.0,0.0,0.0,,,-0.13333333333333333,0.0
XGB,moderate,42,results/robustness_quick_final3\xgb\moderate\robustness_degradation_summary.csv,,,,,0.1591867457047367,0.0,0.0,0.0,,,5.366666666666666,0.0
XGB,severe,42,results/robustness_quick_final3\xgb\severe\robustness_degradation_summary.csv,,,,,0.2054090544531721,0.0,0.0,0.0,0.27117204666137695,0.0,10.0,0.0
SMLP,baseline,42,results/robustness_quick_final3\smlp\baseline\robustness_degradation_summary.csv,,,,,-0.01623931623931624,0.0,0.0,0.0,,,-0.3333333333333333,0.0
SMLP,moderate,42,results/robustness_quick_final3\smlp\moderate\robustness_degradation_summary.csv,,,,,0.12585574658248,0.0,0.0,0.0,,,2.3333333333333335,0.0
SMLP,severe,42,results/robustness_quick_final3\smlp\severe\robustness_degradation_summary.csv,,,,,0.32237471101180776,0.0,0.0,0.0,0.6475436687469482,0.0,7.133333333333334,0.0
TS,baseline,42,results/robustness_quick_final3\ts\baseline\robustness_degradation_summary.csv,,,,,-0.03333333333333333,0.0,0.0,0.0,,,-0.6666666666666666,0.0
TS,moderate,42,results/robustness_quick_final3\ts\moderate\robustness_degradation_summary.csv,,,,,0.08405982905982906,0.0,0.0,0.0,,,2.6666666666666665,0.0
TS,severe,42,results/robustness_quick_final3\ts\severe\robustness_degradation_summary.csv,,,,,0.15275662089697178,0.0,0.0,0.0,0.2590620517730713,0.0,7.733333333333333,0.0
HB,baseline,42,results/robustness_quick_final3\hb\baseline\robustness_degradation_summary.csv,,,,,0.0,0.0,0.0,0.0,,,-0.3333333333333333,0.0
HB,moderate,42,results/robustness_quick_final3\hb\moderate\robustness_degradation_summary.csv,,,,,0.19957264957264959,0.0,0.0,0.0,0.4315648078918457,0.0,4.266666666666667,0.0
HB,severe,42,results/robustness_quick_final3\hb\severe\robustness_degradation_summary.csv,,,,,0.3,0.0,0.0,0.0,0.16751360893249512,0.0,7.133333333333334,0.0
