model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.5,0.3686635944700461,-0.1313364055299539,0.05065202713012695,0.6981956958770752,0.6475436687469482,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,40.0,42
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.25,0.5,0.25,nan,0.15370965003967285,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.25,0.24358974358974358,-0.006410256410256415,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.25,0.75,0.5,nan,0.02315354347229004,nan,0.0,0.0,0.0,0.0,15.0,15.0,0.2,0.1,40.0,42
SmallMLP,5A. Sudden Object Section 1,0.25,0.5,0.25,nan,0.04219484329223633,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.1,40.0,42
SmallMLP,5B. Sudden Object Section 2,0.25,0.7122222222222223,0.4622222222222223,nan,0.47054529190063477,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
SmallMLP,5C. Sudden Object Section 3,0.25,0.5,0.25,nan,0.10907411575317383,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
SmallMLP,5D. Sudden Object Section 4,0.25,0.75,0.5,nan,0.012534141540527344,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
SmallMLP,5E. Sudden Object Section 5,0.25,0.5,0.25,nan,0.8635294437408447,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.2,0.1,40.0,42
SmallMLP,6A. Object Path 1→2→5→Free,0.25,0.6193181818181819,0.3693181818181819,nan,0.0003311634063720703,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
SmallMLP,6B. Object Path 1→3→5→Free,0.25,0.75,0.5,nan,0.11757779121398926,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
SmallMLP,6C. Object Path 1→4→5→Free,0.25,0.5,0.25,nan,0.23470520973205566,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
SmallMLP,6D. Object Path 2→5→Free,0.25,0.75,0.5,nan,0.10312175750732422,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.2,0.1,40.0,42
SmallMLP,6E. Object Path 3→5→Free,0.24358974358974358,0.6354166666666666,0.391826923076923,nan,0.004580020904541016,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
SmallMLP,6F. Object Path 4→5→Free,0.25,0.75,0.5,nan,0.010007619857788086,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
