model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.5,0.5,0.0,0.050400495529174805,0.5132761001586914,0.4628756046295166,0.0,0.0,0.0,5.0,5.0,0.0,0.2,0.1,40.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.5,0.2912087912087912,-0.20879120879120883,0.04689455032348633,0.1021430492401123,0.05524849891662598,0.0,0.0,0.0,5.0,13.0,8.0,0.2,0.1,40.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.25,0.5,0.25,nan,0.9417972564697266,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,40.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.25,0.7103174603174603,0.46031746031746035,nan,0.03099799156188965,nan,0.0,0.0,0.0,0.0,15.0,15.0,0.2,0.1,40.0,42
Sequence,5A. Sudden Object Section 1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Sequence,5B. Sudden Object Section 2,0.25,0.32407407407407407,0.07407407407407407,nan,0.7202653884887695,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
Sequence,5C. Sudden Object Section 3,0.25,0.5413533834586466,0.2913533834586466,nan,0.013822793960571289,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
Sequence,5D. Sudden Object Section 4,0.25,0.4833333333333334,0.2333333333333334,nan,0.02401113510131836,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
Sequence,5E. Sudden Object Section 5,0.25,0.23076923076923075,-0.019230769230769246,nan,0.03514742851257324,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
Sequence,6A. Object Path 1→2→5→Free,0.25,0.3021978021978022,0.05219780219780218,nan,0.4673652648925781,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
Sequence,6B. Object Path 1→3→5→Free,0.25,0.75,0.5,nan,0.5888192653656006,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
Sequence,6C. Object Path 1→4→5→Free,0.25,0.3666666666666667,0.1166666666666667,nan,0.04077792167663574,nan,0.0,0.0,0.0,0.0,19.0,19.0,0.2,0.1,40.0,42
Sequence,6D. Object Path 2→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Sequence,6E. Object Path 3→5→Free,0.25,0.2914285714285714,0.041428571428571426,nan,0.5373077392578125,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
Sequence,6F. Object Path 4→5→Free,0.25,0.75,0.5,nan,0.14294910430908203,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
