model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.40909090909090906,0.4392857142857143,0.03019480519480522,0.00635838508605957,0.2775304317474365,0.27117204666137695,0.0,0.0,0.0,2.0,11.0,9.0,0.2,0.1,40.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.4291666666666667,0.1791666666666667,nan,0.31975746154785156,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.6687500000000001,0.41875000000000007,nan,0.24053287506103516,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.23529411764705882,-0.01470588235294118,nan,0.0018014907836914062,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,40.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.43560606060606055,0.18560606060606055,nan,0.15781307220458984,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.44097222222222227,0.19097222222222227,nan,0.015849590301513672,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.4277777777777778,0.1777777777777778,nan,0.006705760955810547,nan,0.0,0.0,0.0,0.0,16.0,16.0,0.2,0.1,40.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.6856060606060606,0.43560606060606055,nan,0.41442441940307617,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.575,0.32499999999999996,nan,0.03679084777832031,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.5277777777777777,0.2777777777777777,nan,0.023900270462036133,nan,0.0,0.0,0.0,0.0,16.0,16.0,0.2,0.1,40.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.3141025641025641,0.0641025641025641,nan,0.009114980697631836,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.39610389610389607,0.14610389610389607,nan,0.007249593734741211,nan,0.0,0.0,0.0,0.0,18.0,18.0,0.2,0.1,40.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.5,0.25,nan,0.9819939136505127,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.1,40.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.47103386809269165,0.22103386809269165,nan,0.016814470291137695,nan,0.0,0.0,0.0,0.0,16.0,16.0,0.2,0.1,40.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.44375000000000003,0.19375000000000003,nan,0.29717588424682617,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
