model_code,model,condition,runs,unique_seeds,scenarios_per_seed,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,fnr_full_brake_mean,fnr_full_brake_std,mttd_mean,mttd_std,nmr_mean,nmr_std
BF,BayesianFusion,baseline,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
BF,BayesianFusion,moderate,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
BF,BayesianFusion,severe,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
DS,DempsterShafer,baseline,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
DS,DempsterShafer,moderate,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
DS,DempsterShafer,severe,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
HB,Hybrid,baseline,15,1,15,0.7320897513403481,0.19880687544221531,0.7322872032024489,0.19898792670407975,0.732174097569644,0.19888140317779804,0.0,0.0,0.049594688415527347,0.002247721589425718,227.0,94.74778549994114
HB,Hybrid,moderate,15,1,15,0.9365458443325224,0.1046468846079352,0.9389759917181976,0.10570446333655516,0.934920252775666,0.107280038085068,0.0,0.0,0.11191541353861491,0.23858287188053184,265.1333333333333,98.11790769030804
HB,Hybrid,severe,15,1,15,0.9867541257022836,0.04536314218198779,0.9877590137957389,0.04399756140022936,0.982992382866689,0.06113013146655658,0.0,0.0,0.04388308525085449,0.014273359648378904,282.93333333333334,82.93669415943246
RB,RuleBased,baseline,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
RB,RuleBased,moderate,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
RB,RuleBased,severe,15,1,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
SMLP,SmallMLP,baseline,15,1,15,0.7630876134462007,0.17417680814965247,0.7630288695201941,0.17421659520893829,0.7630481491693969,0.17419032967535397,0.0,0.0,2.3961271127065022,2.3869501777567828,226.06666666666666,94.4355159178297
SMLP,SmallMLP,moderate,15,1,15,0.9639416240843875,0.061837834698708814,0.958957051817761,0.06266376876211843,0.9605775017627669,0.06141738425728309,0.0,0.0,0.5592170079549154,0.9822769963312045,261.46666666666664,97.90218636597497
SMLP,SmallMLP,severe,15,1,15,0.9655807217911213,0.06197351255096551,0.9528568143094509,0.08081181596688515,0.9578724697642548,0.07275591441226699,0.0,0.0,0.24260689417521158,0.36988800259073135,291.6666666666667,87.21129240992546
TS,TemporalSequence,baseline,15,1,15,0.7945688225538972,0.18029244330682923,0.799811864560639,0.16939427939572996,0.783844769679108,0.20684856256264547,0.0,0.0,1.2080748558044434,1.7678650904286766,222.66666666666666,100.75902417342554
TS,TemporalSequence,moderate,15,1,15,0.9054891623164093,0.1214816359454619,0.8785387316630318,0.12309762360943664,0.8807489471891875,0.13051283226354257,0.20739216645485664,0.30096764824165556,0.34335641860961913,0.47107982417638816,266.8666666666667,92.0821579325974
TS,TemporalSequence,severe,15,1,15,0.8620678533426677,0.13346123171235758,0.8641297789820872,0.142023391874004,0.8479321100400586,0.1374216131991481,0.13143064414909075,0.2696196748525689,0.3736145496368408,0.5224583088084457,288.8666666666667,83.69661767075064
XGB,XGBoost,baseline,15,1,15,0.7799647065452268,0.16295424141059642,0.7906374701149901,0.16609238328129655,0.7841014555646555,0.16362066099263778,0.0,0.0,0.013976414998372396,0.022057584034181395,199.26666666666668,81.68097056463613
XGB,XGBoost,moderate,15,1,15,0.8594006057453439,0.07764415048313524,0.8833622403118044,0.0795262770029095,0.864069240383696,0.07541483752426592,0.0,0.0,0.004984998703002929,0.01118249840828113,234.4,75.52085804597297
XGB,XGBoost,severe,15,1,15,0.6349073117149708,0.3980460348920182,0.6273198447510098,0.3939597883805119,0.621201130566436,0.3889974650183751,0.0,0.0,0.017265926707874645,0.022853774863500792,229.0,96.84833503989627
