model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
CANBusSimulator,1. Parking Scenario,0.09482758620689655,0.44896950176902645,0.3541419155621299,0.0,0.05118545479730729,0.05118545479730729,1.0,0.8738738738738738,-0.12612612612612617,0.0,65.5,65.5,0.1,0.05,25.0,42
CANBusSimulator,2. Slowly Appearing Object: Section 5→2→1,0.9992957746478873,0.9890094028811091,-0.010286371766778268,0.0502772331237793,0.050717531248580576,0.0004402981248012791,0.0,0.0,0.0,127.5,146.0,18.5,0.1,0.05,25.0,42
CANBusSimulator,3. Slowly Appearing Object: Section 5→3,0.7492063492063492,0.984337983291451,0.23513163408510174,0.05071592330932617,0.050908829484667094,0.00019290617534092197,0.0,0.0,0.0,167.0,181.0,14.0,0.1,0.05,25.0,42
CANBusSimulator,4. Slowly Appearing Object: Section 5→4,0.7492063492063492,0.9823122529644269,0.23310590375807771,0.05169081687927246,0.0508116568837847,-0.0008791599954877591,0.0,0.0,0.0,166.5,185.0,18.5,0.1,0.05,25.0,42
CANBusSimulator,5A. Sudden Object Section 1,0.4992012779552716,0.9357318512689357,0.43653057331366407,0.0505826473236084,0.05148786883200369,0.0009052215083952889,0.0,0.0,0.0,0.0,26.5,26.5,0.1,0.05,25.0,42
CANBusSimulator,5B. Sudden Object Section 2,0.4992063492063492,0.9814471243042672,0.48224077509791796,0.05064272880554199,0.05138888484553287,0.0007461560399908765,0.0,0.0,0.0,68.5,89.5,21.0,0.1,0.05,25.0,42
CANBusSimulator,5C. Sudden Object Section 3,0.4992063492063492,0.9989878542510121,0.4997815050446629,0.05043482780456543,0.05102545639564251,0.0005906285910770789,0.0,0.0,0.0,68.5,83.0,14.5,0.1,0.05,25.0,42
CANBusSimulator,5D. Sudden Object Section 4,0.4992063492063492,0.9889116421682329,0.4897052929618837,0.05042600631713867,0.050843545368739536,0.00041753905160086396,0.0,0.0,0.0,68.0,82.5,14.5,0.1,0.05,25.0,42
CANBusSimulator,5E. Sudden Object Section 5,0.4992063492063492,0.9572706603400554,0.45806431113370616,0.050731658935546875,0.05123442241123744,0.0005027634756905666,0.0,0.0,0.0,68.5,88.5,20.0,0.1,0.05,25.0,42
CANBusSimulator,6A. Object Path 1→2→5→Free,0.9989361702127659,0.989802655791387,-0.009133514421378885,0.051119327545166016,0.050880267702299975,-0.00023905984286604065,0.0,0.0,0.0,137.5,146.0,8.5,0.1,0.05,25.0,42
CANBusSimulator,6B. Object Path 1→3→5→Free,0.998945147679325,0.9953090462437373,-0.0036361014355876797,0.050214529037475586,0.05130001476832798,0.0010854857308523966,0.0,0.0,0.0,137.0,152.5,15.5,0.1,0.05,25.0,42
CANBusSimulator,6C. Object Path 1→4→5→Free,0.998945147679325,0.9873550466742294,-0.01159010100509561,0.05034899711608887,0.050779228210449216,0.00043023109436034906,0.0,0.0,0.0,137.5,155.0,17.5,0.1,0.05,25.0,42
CANBusSimulator,6D. Object Path 2→5→Free,0.7489361702127659,0.9986486486486487,0.24971247843588273,0.05062055587768555,0.05089271068572998,0.0002721548080444336,0.0,0.0,0.0,137.5,140.5,3.0,0.1,0.05,25.0,42
CANBusSimulator,6E. Object Path 3→5→Free,0.748945147679325,0.9881906711996533,0.23924552352032835,0.05034279823303223,0.05065996170043945,0.0003171634674072263,0.0,0.0,0.0,137.5,145.5,8.0,0.1,0.05,25.0,42
CANBusSimulator,6F. Object Path 4→5→Free,0.748945147679325,0.98994448152864,0.24099933384931504,0.05057835578918457,0.05087888240814209,0.00030052661895751953,0.0,0.0,0.0,137.5,144.0,6.5,0.1,0.05,25.0,42
