model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
CANBusSimulator,1. Parking Scenario,0.7490421455938697,0.99953095684803,0.2504888112541602,0.051309823989868164,0.051145611138179385,-0.00016421285168877892,0.0,0.0,0.0,147.5,182.5,35.0,0.1,0.05,25.0,42
CANBusSimulator,2. Slowly Appearing Object: Section 5→2→1,0.9992917847025495,0.9991166077738516,-0.00017517692869795098,0.051172494888305664,0.05101424594258153,-0.00015824894572413067,0.0,0.0,0.0,127.5,146.5,19.0,0.1,0.05,25.0,42
CANBusSimulator,3. Slowly Appearing Object: Section 5→3,0.7492063492063492,0.998945147679325,0.24973879847297575,0.050514936447143555,0.05113478364615605,0.0006198471990124937,0.0,0.0,0.0,167.0,180.5,13.5,0.1,0.05,25.0,42
CANBusSimulator,4. Slowly Appearing Object: Section 5→4,0.7492012779552716,0.99945295404814,0.25025167609286847,0.05045676231384277,0.0519118226807693,0.001455060366926525,0.0,0.0,0.0,167.0,186.0,19.0,0.1,0.05,25.0,42
CANBusSimulator,5A. Sudden Object Section 1,0.4992012779552716,0.9988789237668161,0.4996776458115445,0.05038809776306152,0.05066871643066406,0.00028061866760253906,0.0,0.0,0.0,0.0,27.5,27.5,0.1,0.05,25.0,42
CANBusSimulator,5B. Sudden Object Section 2,0.4992063492063492,0.9988479262672811,0.49964157706093193,0.0506284236907959,0.05062257921373522,-5.844477060680531e-06,0.0,0.0,0.0,68.5,89.5,21.0,0.1,0.05,25.0,42
CANBusSimulator,5C. Sudden Object Section 3,0.4992063492063492,0.9772727272727273,0.4780663780663781,0.05086517333984375,0.050803645451863604,-6.152788798014647e-05,0.0,0.0,0.0,69.0,84.0,15.0,0.1,0.05,25.0,42
CANBusSimulator,5D. Sudden Object Section 4,0.4992063492063492,0.9991909385113269,0.4999845893049777,0.05100202560424805,0.05101865735547296,1.6631751224911728e-05,0.0,0.0,0.0,68.5,83.5,15.0,0.1,0.05,25.0,42
CANBusSimulator,5E. Sudden Object Section 5,0.4992012779552716,0.9989082969432315,0.4997070189879599,0.05066800117492676,0.05120690209524972,0.0005389009203229655,0.0,0.0,0.0,68.5,87.0,18.5,0.1,0.05,25.0,42
CANBusSimulator,6A. Object Path 1→2→5→Free,0.998945147679325,0.9987437185929648,-0.00020142908636011647,0.050424814224243164,0.051481000308332775,0.001056186084089611,0.0,0.0,0.0,137.5,146.5,9.0,0.1,0.05,25.0,42
CANBusSimulator,6B. Object Path 1→3→5→Free,0.998945147679325,0.9985875706214689,-0.0003575770578561066,0.0506136417388916,0.0509794491987962,0.0003658074599045963,0.0,0.0,0.0,136.5,152.5,16.0,0.1,0.05,25.0,42
CANBusSimulator,6C. Object Path 1→4→5→Free,0.998945147679325,0.9986033519553073,-0.00034179572401771274,0.050376176834106445,0.05076979637145996,0.0003936195373535137,0.0,0.0,0.0,137.5,155.0,17.5,0.1,0.05,25.0,42
CANBusSimulator,6D. Object Path 2→5→Free,0.7489361702127659,0.9991525423728813,0.2502163721601154,0.05038261413574219,0.05073589086532593,0.00035327672958374023,0.0,0.0,0.0,137.0,142.5,5.5,0.1,0.05,25.0,42
CANBusSimulator,6E. Object Path 3→5→Free,0.7489361702127659,0.9985380116959064,0.24960184148314046,0.05098557472229004,0.05143506050109863,0.00044948577880859347,0.0,0.0,0.0,137.5,145.0,7.5,0.1,0.05,25.0,42
CANBusSimulator,6F. Object Path 4→5→Free,0.7489361702127659,0.9986338797814207,0.24969770956865478,0.05075812339782715,0.05077082912127177,1.2705723444618455e-05,0.0,0.0,0.0,137.5,144.5,7.0,0.1,0.05,25.0,42
