model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
CANBusSimulator,1. Parking Scenario,0.7490636704119851,0.998868778280543,0.24980510786855792,0.05129647254943848,0.05505586521966117,0.00375939267022269,0.0,0.0,0.0,146.5,181.5,35.0,0.1,0.05,25.0,42
CANBusSimulator,2. Slowly Appearing Object: Section 5→2→1,0.9992917847025495,0.999090909090909,-0.00020087561164050527,0.050708770751953125,0.051108931386193567,0.0004001606342404415,0.0,0.0,0.0,128.0,148.0,20.0,0.1,0.05,25.0,42
CANBusSimulator,3. Slowly Appearing Object: Section 5→3,0.7492063492063492,0.9989539748953975,0.2497476256890483,0.050405025482177734,0.05096180350692184,0.0005567780247441034,0.0,0.0,0.0,166.5,180.5,14.0,0.1,0.05,25.0,42
CANBusSimulator,4. Slowly Appearing Object: Section 5→4,0.7492063492063492,0.9989626556016598,0.24975630639531055,0.050336360931396484,0.05119020363380169,0.0008538427024052039,0.0,0.0,0.0,167.0,180.0,13.0,0.1,0.05,25.0,42
CANBusSimulator,5A. Sudden Object Section 1,0.4991961414790997,0.9988789237668161,0.4996827822877164,0.06711769104003906,0.051596395897142815,-0.015521295142896248,0.0,0.0,0.0,0.0,28.5,28.5,0.1,0.05,25.0,42
CANBusSimulator,5B. Sudden Object Section 2,0.4992063492063492,0.9988479262672811,0.49964157706093193,0.05147242546081543,0.05105807974531844,-0.0004143457154969915,0.0,0.0,0.0,68.5,89.0,20.5,0.1,0.05,25.0,42
CANBusSimulator,5C. Sudden Object Section 3,0.4992063492063492,0.9989795918367347,0.4997732426303855,0.05051136016845703,0.05157243353979928,0.0010610733713422513,0.0,0.0,0.0,69.0,82.5,13.5,0.1,0.05,25.0,42
CANBusSimulator,5D. Sudden Object Section 4,0.4992063492063492,0.9891304347826086,0.48992408557625944,0.050453901290893555,0.05076241493225098,0.0003085136413574219,0.0,0.0,0.0,68.5,83.5,15.0,0.1,0.05,25.0,42
CANBusSimulator,5E. Sudden Object Section 5,0.4991961414790997,0.9988888888888889,0.49969274740978925,0.05052375793457031,0.051515527673669764,0.0009917697390994518,0.0,0.0,0.0,68.5,88.5,20.0,0.1,0.05,25.0,42
CANBusSimulator,6A. Object Path 1→2→5→Free,0.998945147679325,0.9991961414790997,0.0002509937997747791,0.05048561096191406,0.05245286971330643,0.0019672587513923645,0.0,0.0,0.0,137.0,148.0,11.0,0.1,0.05,25.0,42
CANBusSimulator,6B. Object Path 1→3→5→Free,0.9989361702127659,0.9985714285714286,-0.00036474164133737386,0.050540924072265625,0.0516788193157741,0.0011378952435084771,0.0,0.0,0.0,138.0,153.0,15.0,0.1,0.05,25.0,42
CANBusSimulator,6C. Object Path 1→4→5→Free,0.998945147679325,0.9986486486486487,-0.00029649903067630046,0.050562381744384766,0.05082004268964132,0.0002576609452565534,0.0,0.0,0.0,137.5,154.0,16.5,0.1,0.05,25.0,42
CANBusSimulator,6D. Object Path 2→5→Free,0.7489361702127659,0.9986486486486487,0.24971247843588273,0.05057525634765625,0.05155475934346517,0.0009795029958089216,0.0,0.0,0.0,137.5,140.0,2.5,0.1,0.05,25.0,42
CANBusSimulator,6E. Object Path 3→5→Free,0.7489361702127659,0.999185667752443,0.25024949753967707,0.05063509941101074,0.05090927084287008,0.0002741714318593366,0.0,0.0,0.0,137.0,147.5,10.5,0.1,0.05,25.0,42
CANBusSimulator,6F. Object Path 4→5→Free,0.748945147679325,0.9986486486486487,0.2497035009693237,0.050377845764160156,0.05109102385384696,0.0007131780896868015,0.0,0.0,0.0,137.5,143.5,6.0,0.1,0.05,25.0,42
