model,scenario,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,mttd_mean,mttd_std,mttd_ci_lower,mttd_ci_upper,fnr_mean,fnr_std,fnr_ci_lower,fnr_ci_upper,n
Hybrid,1. Parking Scenario,0.7990327567696749,0.10570053773330493,0.7486554524824874,0.8740726509926825,0.040604138374328615,0.021208660870987866,0.025525283813476563,0.05071868896484375,0.0,0.0,0.0,0.0,10
Hybrid,2. Slowly Appearing Object: Section 5→2→1,0.9980800736430544,0.0025118408800421355,0.9965112868170298,0.9990824220124781,0.04308698177337646,0.014680404619263331,0.03273351192474365,0.04883723258972168,0.0,0.0,0.0,0.0,10
Hybrid,3. Slowly Appearing Object: Section 5→3,0.7731766480423832,0.07940985933829922,0.7469510716002213,0.8236818041095523,0.5586738586425781,1.6216281362234934,0.04117717742919922,1.5862698316574098,0.0,0.0,0.0,0.0,10
Hybrid,4. Slowly Appearing Object: Section 5→4,0.7733649224358842,0.07933916377510394,0.7470041390284277,0.8238859054606597,0.0439448356628418,0.010102628514281375,0.03679811954498291,0.04879641532897949,0.0,0.0,0.0,0.0,10
Hybrid,5A. Sudden Object Section 1,0.6380062701237079,0.12147006529387439,0.5630952380952381,0.7058634129808506,0.042710614204406736,0.01546200997918182,0.03296394348144531,0.04914593696594238,0.0,0.0,0.0,0.0,10
Hybrid,5B. Sudden Object Section 2,0.5744550432623587,0.12113862856332566,0.4995440087492165,0.6496401713716201,0.04579849243164062,0.010491702096726618,0.03910958766937256,0.04919283390045166,0.0,0.0,0.0,0.0,10
Hybrid,5C. Sudden Object Section 3,0.624723925548079,0.131859520988771,0.5496323529411764,0.6999077490774908,0.042408084869384764,0.014508651671725555,0.03280725479125977,0.048664188385009764,0.0,0.0,0.0,0.0,10
Hybrid,5D. Sudden Object Section 4,0.5990920751289945,0.12988697713381162,0.5236310111095763,0.6746388715060492,0.040442395210266116,0.014974511862372399,0.029710102081298827,0.04792585372924805,0.0,0.0,0.0,0.0,10
Hybrid,5E. Sudden Object Section 5,0.6159359035041575,0.12540875529036358,0.5411204053491759,0.6909286592865929,0.042580795288085935,0.012506730828132109,0.03520102500915527,0.04849896430969238,0.0,0.0,0.0,0.0,10
Hybrid,6A. Object Path 1→2→5→Free,0.9982949805627722,0.0010287887347667963,0.9976503077069763,0.9989029364711908,0.04027588367462158,0.012129654271523047,0.03256521224975586,0.04708859920501709,0.0,0.0,0.0,0.0,10
Hybrid,6B. Object Path 1→3→5→Free,0.99806528475448,0.0022563202383577004,0.9965669558044267,0.9989984784597977,0.03372550010681152,0.020382240170515247,0.021023654937744142,0.04430551528930664,0.0,0.0,0.0,0.0,10
Hybrid,6C. Object Path 1→4→5→Free,0.9974205667797215,0.003073403593974763,0.9954113839170363,0.9988965229389752,0.04576785564422607,0.009726189188934448,0.03955364227294922,0.048988842964172365,0.0,0.0,0.0,0.0,10
Hybrid,6D. Object Path 2→5→Free,0.7731188086310549,0.07942712104797363,0.7467825314940046,0.823826206003529,0.040950894355773926,0.017133410138240445,0.02992978096008301,0.048907685279846194,0.0,0.0,0.0,0.0,10
Hybrid,6E. Object Path 3→5→Free,0.7736436546007658,0.07923171899386112,0.7479066523417053,0.8241067002600774,0.044555830955505374,0.013252776406044125,0.03608512878417969,0.04892251491546631,0.0,0.0,0.0,0.0,10
Hybrid,6F. Object Path 4→5→Free,0.7719324185454505,0.07987008173726258,0.7453106857771093,0.8230047007643412,0.045145940780639646,0.012244149781063614,0.03734138011932373,0.049131917953491214,0.0,0.0,0.0,0.0,10
Sequence,1. Parking Scenario,0.8277470735423261,0.12062029379186201,0.755525878496625,0.8989640863724677,0.04592454433441162,0.015923417903983487,0.03577122688293457,0.05106494426727295,0.0007194244604316547,0.0022750198994017116,0.0,0.002158273381294964,10
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.9781329952507581,0.038404963762288365,0.9536129162526576,0.995147104057474,0.04863002300262451,0.0018338593162594305,0.04744434356689453,0.0492854118347168,0.005023734177215191,0.010978274488680433,0.0,0.01194620253164557,10
Sequence,3. Slowly Appearing Object: Section 5→3,0.580490588747528,0.13392603407502818,0.5045358533714434,0.6603979788275226,0.0463425874710083,0.009178742519153718,0.040477633476257324,0.049369192123413085,0.0,0.0,0.0,0.0,10
Sequence,4. Slowly Appearing Object: Section 5→4,0.4874497406847147,0.0998574872993141,0.4392187064372354,0.5590298092175348,0.049265289306640626,0.0003941607756008935,0.04904024600982666,0.049494814872741696,0.0,0.0,0.0,0.0,10
Sequence,5A. Sudden Object Section 1,0.705253995550801,0.04238645601516468,0.6797132644491601,0.7268754747021113,0.049233865737915036,0.00042246602831334297,0.04898581504821777,0.04946432113647461,0.0,0.0,0.0,0.0,10
Sequence,5B. Sudden Object Section 2,0.4698186388010095,0.18478242039881168,0.3453401715014371,0.5647500850810924,0.03461972872416178,0.018780218363106328,0.02283755938212077,0.046470589107937284,0.0,0.0,0.0,0.0,10
Sequence,5C. Sudden Object Section 3,0.5422816413374207,0.23129104651577567,0.4110763245071973,0.6679180571406446,0.04858512348598904,0.002530299191492827,0.046824905607435435,0.049526611963907875,0.0,0.0,0.0,0.0,10
Sequence,5D. Sudden Object Section 4,0.48980498972844744,0.2046156849199802,0.3591521921617232,0.5936787237541258,0.03083915180630154,0.017716879831982665,0.019107288784450956,0.0410304069519043,0.2222222222222222,0.44095855184409843,0.0,0.5555555555555556,10
Sequence,5E. Sudden Object Section 5,0.24436122075779282,0.10236782643859886,0.17702446269189953,0.29762414425888845,0.04591592152913412,0.010502598374469293,0.03886116875542535,0.049554559919569224,0.1111111111111111,0.3333333333333333,0.0,0.3333333333333333,10
Sequence,6A. Object Path 1→2→5→Free,0.887149439550494,0.31263814823842373,0.6847268659331872,0.994870995065104,0.040774027506510414,0.01635617207054801,0.029776255289713543,0.04874012205335829,0.0,0.0,0.0,0.0,10
Sequence,6B. Object Path 1→3→5→Free,0.7376867312877455,0.29763554267208986,0.5321567829835225,0.8932313011016948,0.04241765869988336,0.013735027371013897,0.034244669808281794,0.049323081970214844,0.0032368621477532372,0.006833342896011562,0.0,0.008547008547008548,10
Sequence,6C. Object Path 1→4→5→Free,0.6454761752283273,0.2504892864692363,0.48451344845502237,0.7673690403050225,0.04912673102484809,0.0003653487617988232,0.04887292120191786,0.049353069729275174,0.008692365835222978,0.01776467076643129,0.0,0.021164021164021163,10
Sequence,6D. Object Path 2→5→Free,0.6151092728617338,0.3332332199187013,0.3965252622502858,0.7827015489747702,0.04738759994506836,0.004995912847020232,0.04381158947944641,0.04927420616149902,0.125,0.3535533905932738,0.0,0.375,10
Sequence,6E. Object Path 3→5→Free,0.45645388230656836,0.29760069111601156,0.28960270864205595,0.628702660029071,0.04917675256729126,0.00043039233429132464,0.048916250467300415,0.04943743348121643,0.0,0.0,0.0,0.0,10
Sequence,6F. Object Path 4→5→Free,0.3847981143226315,0.2329402189433047,0.246880041872333,0.5212463447840026,0.04953068494796753,0.00020258087688875746,0.04937371611595154,0.049663394689559937,0.25,0.4629100498862757,0.0,0.5,10
SmallMLP,1. Parking Scenario,0.9099038209605969,0.11627131350355044,0.8378860050877176,0.9767416723968456,0.030844926834106445,0.026118801329120676,0.015650463104248048,0.04604053497314453,0.0,0.0,0.0,0.0,10
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.988734376126407,0.0019023550066917373,0.9876268683718127,0.9898742492201384,0.039989161491394046,0.01838151212665438,0.028666424751281738,0.04888172149658203,0.0,0.0,0.0,0.0,10
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.8180502085393645,0.12061275339537125,0.7672354051971522,0.8929526932287952,0.046010160446166994,0.0077279892646894095,0.04126138687133789,0.04936950206756592,0.0,0.0,0.0,0.0,10
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.7947320440135368,0.10530102638274379,0.7443186588719266,0.8697121062446287,0.044321727752685544,0.01179621289215864,0.035629653930664064,0.04943666458129883,0.0,0.0,0.0,0.0,10
SmallMLP,5A. Sudden Object Section 1,0.6638614933734072,0.1162298976183786,0.5970459200729796,0.7240866852190116,0.04136097431182861,0.015663008046252983,0.03190159797668457,0.049709200859069824,0.0,0.0,0.0,0.0,10
SmallMLP,5B. Sudden Object Section 2,0.5603257790136049,0.10460955849161253,0.49703853949426496,0.6270606211584488,1.0897998094558716,2.1975678738484974,0.04614737033843994,2.1421064138412476,0.0,0.0,0.0,0.0,10
SmallMLP,5C. Sudden Object Section 3,0.5742816723662791,0.12062109388989226,0.524102480965042,0.6492633442817946,0.04912912845611572,0.0011919015373184703,0.04837005138397217,0.04961285591125488,0.0,0.0,0.0,0.0,10
SmallMLP,5D. Sudden Object Section 4,0.5490049436458936,0.1054494888986972,0.49883676643969954,0.6240808699295785,0.04441115856170654,0.013893836923432847,0.03547987937927246,0.04959821701049805,0.0,0.0,0.0,0.0,10
SmallMLP,5E. Sudden Object Section 5,0.5886291553014286,0.07162953658949582,0.5471656803373531,0.6287117255228792,0.04386756420135498,0.01217902836567313,0.03576304912567139,0.04944510459899902,0.0,0.0,0.0,0.0,10
SmallMLP,6A. Object Path 1→2→5→Free,0.96791618113073,0.07746541908183051,0.9186335712977438,0.9928411199350856,0.04692044258117676,0.0062745295437454125,0.04304449558258057,0.049832820892333984,0.0,0.0,0.0,0.0,10
SmallMLP,6B. Object Path 1→3→5→Free,0.8949771654410238,0.3144645264050289,0.6958029291481407,0.9947773687014445,0.044174008899264865,0.016068202753201317,0.033379157384236656,0.049736075931125216,0.0,0.0,0.0,0.0,10
SmallMLP,6C. Object Path 1→4→5→Free,0.8955403635307178,0.3146608499291545,0.6964476913080875,0.9951111872680357,0.04449123806423611,0.011223726136918312,0.03602896796332465,0.04937495125664605,0.0,0.0,0.0,0.0,10
SmallMLP,6D. Object Path 2→5→Free,0.6706521769023449,0.2356447220457807,0.5214138866595753,0.7455617749853054,0.3779231177435981,1.030529245761716,0.02593366305033366,1.069928248723348,0.0,0.0,0.0,0.0,10
SmallMLP,6E. Object Path 3→5→Free,0.7160980104331696,0.2678343280932378,0.541609946227499,0.8343910228486718,0.046490642759535045,0.009403847673669386,0.0401713318294949,0.04973022143046061,0.0,0.0,0.0,0.0,10
SmallMLP,6F. Object Path 4→5→Free,0.6725074135190511,0.23629541737851215,0.5229526531476586,0.7474294184767422,0.04963056246439616,0.0003563144127967966,0.04941089948018392,0.0498507022857666,0.0,0.0,0.0,0.0,10
XGBoost,1. Parking Scenario,0.36982082905550595,0.4775752775366844,0.09252988386148246,0.6471117742495295,0.012913405895233154,0.0035362115396836216,0.010596752166748047,0.016437828540802002,0.0,0.0,0.0,0.0,10
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.39669178030291163,0.5121270701822708,0.09913024613355739,0.6943889019155647,0.02715432643890381,0.02952524690154075,0.0019004344940185547,0.05240821838378906,0.0,0.0,0.0,0.0,10
XGBoost,3. Slowly Appearing Object: Section 5→3,0.2396198805025659,0.3885090186410903,0.07424914445244957,0.4793205590559994,0.053072214126586914,0.007333420889548061,0.044609785079956055,0.05756711959838867,0.0,0.0,0.0,0.0,10
XGBoost,4. Slowly Appearing Object: Section 5→4,0.23540898373254934,0.38059437625365583,0.0,0.45825995583965523,0.0007965564727783203,1.2830375716279707e-05,0.0007860660552978516,0.0008108615875244141,0.0,0.0,0.0,0.0,10
XGBoost,5A. Sudden Object Section 1,0.17788380600346687,0.2903247010107898,0.0,0.3561189331247841,0.032862186431884766,0.05134861849200631,0.0007722377777099609,0.09208536148071289,0.0,0.0,0.0,0.0,10
XGBoost,5B. Sudden Object Section 2,0.1601471026393627,0.260201453595056,0.049117987275882014,0.32029420527872543,0.0007878144582112631,4.963135763527471e-05,0.0007312297821044922,0.000823974609375,0.0,0.0,0.0,0.0,10
XGBoost,5C. Sudden Object Section 3,0.14741614358859542,0.2373627525199269,0.0,0.29483228717719084,0.02014899253845215,0.033381590235924956,0.0007889270782470703,0.05869460105895996,0.0,0.0,0.0,0.0,10
XGBoost,5D. Sudden Object Section 4,0.147529027263169,0.2375444331334906,0.0,0.2950601444713197,0.0006043910980224609,0.00016867301469762524,0.0004227161407470703,0.0007560253143310547,0.0,0.0,0.0,0.0,10
XGBoost,5E. Sudden Object Section 5,0.1856144699117613,0.3048057177158606,0.0,0.3712289398235226,0.014064629872639975,0.023047888985944547,0.0007331371307373047,0.04067802429199219,0.0,0.0,0.0,0.0,10
XGBoost,6A. Object Path 1→2→5→Free,0.2940037102022419,0.47339105375676377,0.0,0.5880241890680804,0.007566610972086589,0.011613178264660136,0.00078582763671875,0.02097606658935547,0.0,0.0,0.0,0.0,10
XGBoost,6B. Object Path 1→3→5→Free,0.29413391123855465,0.47360080903450996,0.0,0.5883396582256605,0.05933276812235514,0.002254911563175775,0.057973623275756836,0.0619356632232666,0.0,0.0,0.0,0.0,10
