model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.4086021505376344,0.43560606060606055,0.027003910068426173,0.002947092056274414,0.38820314407348633,0.3852560520172119,0.0,0.0,0.0,2.0,7.0,5.0,0.1,0.05,25.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.5,0.25,nan,0.9920661449432373,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.575,0.32499999999999996,nan,0.030328750610351562,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.1,0.05,25.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.43560606060606055,0.18560606060606055,nan,0.36419105529785156,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.4291666666666667,0.1791666666666667,nan,0.49077486991882324,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.6057692307692306,0.3557692307692306,nan,0.37368321418762207,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.1,0.05,25.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.6241258741258742,0.37412587412587417,nan,0.008193016052246094,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.33076923076923076,0.08076923076923076,nan,0.012236356735229492,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.575,0.32499999999999996,nan,0.008523225784301758,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.4173076923076923,0.16730769230769232,nan,0.54653000831604,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.3908045977011494,0.1408045977011494,nan,0.009408712387084961,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.1,0.05,25.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.4291666666666667,0.1791666666666667,nan,0.4929649829864502,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
