model,condition,seed,csv_path,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,mttd_mean,mttd_std,nmr_mean,nmr_std
RB,baseline,42,,,,,,,,,,,,,
RB,moderate,42,,,,,,,,,,,,,
RB,severe,42,,,,,,,,,,,,,
BF,baseline,42,,,,,,,,,,,,,
BF,moderate,42,,,,,,,,,,,,,
BF,severe,42,,,,,,,,,,,,,
DS,baseline,42,,,,,,,,,,,,,
DS,moderate,42,,,,,,,,,,,,,
DS,severe,42,,,,,,,,,,,,,
XGB,baseline,42,C:\EgieErlandJadian\Code\results\robustness\xgb\baseline\robustness_degradation_summary.csv,,,,,-0.019439254845183218,0.0,0.0,0.0,-0.22264588673909505,0.0,1.8666666666666667,0.0
XGB,moderate,42,C:\EgieErlandJadian\Code\results\robustness\xgb\moderate\robustness_degradation_summary.csv,,,,,0.07256900738565185,0.0,0.0,0.0,-0.004063081741333008,0.0,29.866666666666667,0.0
XGB,severe,42,C:\EgieErlandJadian\Code\results\robustness\xgb\severe\robustness_degradation_summary.csv,,,,,0.1281156645297789,0.0,0.0,0.0,-0.003883981704711914,0.0,48.2,0.0
SMLP,baseline,42,C:\EgieErlandJadian\Code\results\robustness\smlp\baseline\robustness_degradation_summary.csv,,,,,0.30556674822003244,0.0,0.0,0.0,-2.1084062576293947,0.0,17.9,0.0
SMLP,moderate,42,C:\EgieErlandJadian\Code\results\robustness\smlp\moderate\robustness_degradation_summary.csv,,,,,0.1767325242110049,0.0,0.0,0.0,-0.7931384881337483,0.0,29.866666666666667,0.0
SMLP,severe,42,C:\EgieErlandJadian\Code\results\robustness\smlp\severe\robustness_degradation_summary.csv,,,,,0.16102291425830018,0.0,0.0,0.0,-1.6869638442993165,0.0,60.6,0.0
TS,baseline,42,C:\EgieErlandJadian\Code\results\robustness\ts\baseline\robustness_degradation_summary.csv,,,,,-0.03343823355734969,0.0,-0.0004761904761904762,0.0,1.7989105860392252,0.0,-0.5333333333333333,0.0
TS,moderate,42,C:\EgieErlandJadian\Code\results\robustness\ts\moderate\robustness_degradation_summary.csv,,,,,0.09459331472881921,0.0,0.0209749920861032,0.0,-1.149663543701172,0.0,29.433333333333334,0.0
TS,severe,42,C:\EgieErlandJadian\Code\results\robustness\ts\severe\robustness_degradation_summary.csv,,,,,0.14347916517800322,0.0,0.06423503410383517,0.0,-2.722419261932373,0.0,71.73333333333333,0.0
HB,baseline,42,C:\EgieErlandJadian\Code\results\robustness\hb\baseline\robustness_degradation_summary.csv,,,,,-0.0002686903507362485,0.0,0.0,0.0,-0.3061145464579264,0.0,9.433333333333334,0.0
HB,moderate,42,C:\EgieErlandJadian\Code\results\robustness\hb\moderate\robustness_degradation_summary.csv,,,,,0.16956668574778147,0.0,0.0,0.0,-1.8565330187479654,0.0,25.7,0.0
HB,severe,42,C:\EgieErlandJadian\Code\results\robustness\hb\severe\robustness_degradation_summary.csv,,,,,-0.5832038055074429,0.0,nan,0.0,nan,0.0,nan,0.0
