model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,0.75,1.0,0.25,0.05022907257080078,0.05106306076049805,0.0008339881896972656,0.0,0.0,0.0,295.0,292.0,-3.0,0.0,0.0,0.0,42
Hybrid,2. Slowly Appearing Object: Section 5→2→1,1.0,1.0,0.0,5.167836666107178,5.301802158355713,0.13396549224853516,0.0,0.0,0.0,255.0,250.0,-5.0,0.0,0.0,0.0,42
Hybrid,3. Slowly Appearing Object: Section 5→3,0.75,0.7484540493783991,-0.0015459506216009,5.0712268352508545,0.00023627281188964844,-5.070990562438965,0.0,0.0,0.0,335.0,336.0,1.0,0.0,0.0,0.0,42
Hybrid,4. Slowly Appearing Object: Section 5→4,0.75,0.7484381045856494,-0.0015618954143505892,0.034667015075683594,0.014798641204833984,-0.01986837387084961,0.0,0.0,0.0,166.0,331.0,165.0,0.0,0.0,0.0,42
Hybrid,5A. Sudden Object Section 1,0.5,0.5,0.0,5.158143758773804,5.268638372421265,0.11049461364746094,0.0,0.0,0.0,0.5,0.0,-0.5,0.0,0.0,0.0,42
Hybrid,5B. Sudden Object Section 2,0.5,0.49907749077490776,-0.0009225092250922384,0.05046391487121582,0.05098557472229004,0.0005216598510742188,0.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,42
Hybrid,5C. Sudden Object Section 3,0.49907749077490776,0.75,0.25092250922509224,0.050978660583496094,0.050615549087524414,-0.0003631114959716797,0.0,0.0,0.0,136.0,134.0,-2.0,0.0,0.0,0.0,42
Hybrid,5D. Sudden Object Section 4,0.75,0.5,-0.25,0.050270795822143555,0.043694496154785156,-0.0065762996673583984,0.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,42
Hybrid,5E. Sudden Object Section 5,0.75,0.49907749077490776,-0.25092250922509224,0.050557613372802734,0.011922121047973633,-0.0386354923248291,0.0,0.0,0.0,135.0,136.0,1.0,0.0,0.0,0.0,42
Hybrid,6A. Object Path 1→2→5→Free,1.0,1.0,0.0,0.05022907257080078,0.05073213577270508,0.0005030632019042969,0.0,0.0,0.0,276.0,271.0,-5.0,0.0,0.0,0.0,42
Hybrid,6B. Object Path 1→3→5→Free,1.0,1.0,0.0,3.1202175617218018,3.1180760860443115,-0.0021414756774902344,0.0,0.0,0.0,275.0,270.0,-5.0,0.0,0.0,0.0,42
Hybrid,6C. Object Path 1→4→5→Free,1.0,1.0,0.0,3.1404638290405273,3.267822504043579,0.12735867500305176,0.0,0.0,0.0,270.0,275.0,5.0,0.0,0.0,0.0,42
Hybrid,6D. Object Path 2→5→Free,0.75,0.75,0.0,3.070718765258789,3.1164252758026123,0.04570651054382324,0.0,0.0,0.0,275.0,270.0,-5.0,0.0,0.0,0.0,42
Hybrid,6E. Object Path 3→5→Free,0.75,0.75,0.0,3.1160128116607666,3.2734382152557373,0.1574254035949707,0.0,0.0,0.0,275.0,270.0,-5.0,0.0,0.0,0.0,42
Hybrid,6F. Object Path 4→5→Free,0.75,0.75,0.0,3.0988974571228027,3.0689451694488525,-0.029952287673950195,0.0,0.0,0.0,275.0,275.0,0.0,0.0,0.0,0.0,42
