model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.9940709063511552,0.9750806267435875,-0.018990279607567717,0.05060291290283203,0.6171669960021973,0.5665640830993652,0.0,0.0,0.0,293.0,348.0,55.0,0.1,0.05,25.0,42
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.9885703169256843,0.9777571345768632,-0.010813182348821115,0.00010776519775390625,2.5694496631622314,2.5693418979644775,0.0,0.0,0.0,253.0,298.0,45.0,0.1,0.05,25.0,42
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.7451357271939223,0.9744800556491044,0.22934432845518216,5.291821002960205,0.6676967144012451,-4.62412428855896,0.0,0.0,0.0,324.0,368.0,44.0,0.1,0.05,25.0,42
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.7467299457595129,0.9824917024451143,0.2357617566856014,0.024373531341552734,0.024779558181762695,0.00040602684020996094,0.0,0.0,0.0,330.0,338.0,8.0,0.1,0.05,25.0,42
SmallMLP,5A. Sudden Object Section 1,0.5,0.9969203849518811,0.49692038495188107,5.233638525009155,0.022614240646362305,-5.211024284362793,0.0,0.0,0.0,0.0,69.0,69.0,0.1,0.05,25.0,42
SmallMLP,5B. Sudden Object Section 2,0.4982733778682766,0.991166253101737,0.4928928752334604,0.040750741958618164,0.10386228561401367,0.06311154365539551,0.0,0.0,0.0,139.0,178.0,39.0,0.1,0.05,25.0,42
SmallMLP,5C. Sudden Object Section 3,0.75,0.7084937954642704,-0.04150620453572962,0.05099916458129883,0.05131244659423828,0.0003132820129394531,0.0,0.0,0.0,136.0,194.0,58.0,0.1,0.05,25.0,42
SmallMLP,5D. Sudden Object Section 4,0.5,0.9914589914589915,0.4914589914589915,0.051363229751586914,2.7798001766204834,2.7284369468688965,0.0,0.0,0.0,136.0,146.0,10.0,0.1,0.05,25.0,42
SmallMLP,5E. Sudden Object Section 5,0.6231343283582089,0.7170862268518519,0.09395189849364294,0.05058693885803223,0.05104470252990723,0.000457763671875,0.0,0.0,0.0,136.0,182.0,46.0,0.1,0.05,25.0,42
SmallMLP,6A. Object Path 1→2→5→Free,0.9939658283107047,0.987071069539176,-0.006894758771528675,0.050704002380371094,0.05138516426086426,0.0006811618804931641,0.0,0.0,0.0,276.0,280.0,4.0,0.1,0.05,25.0,42
SmallMLP,6B. Object Path 1→3→5→Free,0.995974999023881,0.9912500764853455,-0.004724922538535514,3.132416009902954,0.10213851928710938,-3.0302774906158447,0.0,0.0,0.0,269.0,286.0,17.0,0.1,0.05,25.0,42
SmallMLP,6C. Object Path 1→4→5→Free,0.9959272873601097,0.982628235599153,-0.013299051760956693,3.185192346572876,1.488246202468872,-1.696946144104004,0.0,0.0,0.0,268.0,268.0,0.0,0.1,0.05,25.0,42
SmallMLP,6D. Object Path 2→5→Free,0.7442011854592798,0.9910991447576813,0.24689795929840153,0.040599822998046875,0.05165433883666992,0.011054515838623047,0.0,0.0,0.0,276.0,281.0,5.0,0.1,0.05,25.0,42
SmallMLP,6E. Object Path 3→5→Free,0.7463760504201681,0.9886265320836338,0.24225048166346574,0.009727716445922852,0.00016069412231445312,-0.009567022323608398,0.0,0.0,0.0,276.0,297.0,21.0,0.1,0.05,25.0,42
SmallMLP,6F. Object Path 4→5→Free,0.7462962962962962,0.9640338827838828,0.21773758648758657,3.3065311908721924,0.04102587699890137,-3.265505313873291,0.0,0.0,0.0,270.0,297.0,27.0,0.1,0.05,25.0,42
