model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.7447192821355502,0.9108883058470764,0.1661690237115262,0.022351980209350586,0.004108428955078125,-0.01824355125427246,0.0,0.0,0.0,257.0,264.0,7.0,0.0,0.0,0.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.9924647116843074,0.9930244993194633,0.0005597876351559616,0.0016939640045166016,0.005452632904052734,0.003758668899536133,0.0,0.0,0.0,223.0,225.0,2.0,0.0,0.0,0.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.7433670382853685,0.7434333560013601,6.631771599152625e-05,0.026368141174316406,0.0003883838653564453,-0.02597975730895996,0.0,0.0,0.0,296.0,295.0,-1.0,0.0,0.0,0.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.7434333560013601,0.7435413761994587,0.00010802019809863506,0.0004394054412841797,0.0014595985412597656,0.001020193099975586,0.0,0.0,0.0,295.0,295.0,0.0,0.0,0.0,0.0,42
XGBoost,5A. Sudden Object Section 1,0.6192842492610243,0.6192842492610243,0.0,0.0012106895446777344,0.004686594009399414,0.0034759044647216797,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,42
XGBoost,5B. Sudden Object Section 2,0.4961149961149961,0.4961392254692326,2.4229354236515732e-05,0.004149436950683594,0.004220008850097656,7.05718994140625e-05,0.0,0.0,0.0,118.0,123.0,5.0,0.0,0.0,0.0,42
XGBoost,5C. Sudden Object Section 3,0.746122290094622,0.49612713675213677,-0.2499951533424853,0.0014340877532958984,0.0042629241943359375,0.002828836441040039,0.0,0.0,0.0,123.0,118.0,-5.0,0.0,0.0,0.0,42
XGBoost,5D. Sudden Object Section 4,0.7461087164750958,0.4961392254692326,-0.2499694910058632,0.00393986701965332,0.0040988922119140625,0.0001590251922607422,0.0,0.0,0.0,117.0,123.0,6.0,0.0,0.0,0.0,42
XGBoost,5E. Sudden Object Section 5,0.746122290094622,0.4961392254692326,-0.24998306462538944,0.004411458969116211,0.004463911056518555,5.245208740234375e-05,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.9863193877822474,0.9863659189822563,4.653120000897015e-05,0.0040395259857177734,0.004886627197265625,0.0008471012115478516,0.0,0.0,0.0,236.0,240.0,4.0,0.0,0.0,0.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.9818283205560359,0.9818283205560359,0.0,0.0016064643859863281,0.00039315223693847656,-0.0012133121490478516,0.0,0.0,0.0,243.0,243.0,0.0,0.0,0.0,0.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.9810828877005346,0.9818283205560359,0.0007454328555012157,0.0016446113586425781,0.0012583732604980469,-0.00038623809814453125,0.0,0.0,0.0,240.0,243.0,3.0,0.0,0.0,0.0,42
XGBoost,6D. Object Path 2→5→Free,0.7368843825296003,0.8638652568465403,0.12698087431693994,0.0016665458679199219,0.001302480697631836,-0.00036406517028808594,0.0,0.0,0.0,245.0,242.0,-3.0,0.0,0.0,0.0,42
XGBoost,6E. Object Path 3→5→Free,0.7414054336468129,0.7367342825055844,-0.004671151141228513,3.313133478164673,0.004167318344116211,-3.3089661598205566,0.0,0.0,0.0,237.0,246.0,9.0,0.0,0.0,0.0,42
XGBoost,6F. Object Path 4→5→Free,0.7370020230314348,0.905331843481194,0.1683298204497592,0.0014486312866210938,0.004700660705566406,0.0032520294189453125,0.0,0.0,0.0,241.0,242.0,1.0,0.0,0.0,0.0,42
