model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.7445851553782605,0.8227164502164503,0.07813129483818981,0.011050224304199219,0.0019080638885498047,-0.009142160415649414,0.0,0.0,0.0,252.0,316.0,64.0,0.1,0.05,25.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.9922166698482489,0.9256489122924783,-0.0665677575557706,0.004198789596557617,0.004889249801635742,0.000690460205078125,0.0,0.0,0.0,215.0,263.0,48.0,0.1,0.05,25.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.7411210569488911,0.7150070943672838,-0.026113962581607253,0.056714534759521484,0.005381107330322266,-0.05133342742919922,0.0,0.0,0.0,290.0,313.0,23.0,0.1,0.05,25.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.7431446365495445,0.8904955318830917,0.14735089533354717,0.004141569137573242,0.00043964385986328125,-0.003701925277709961,0.0,0.0,0.0,285.0,305.0,20.0,0.1,0.05,25.0,42
XGBoost,5A. Sudden Object Section 1,0.6189902236507299,0.8508303737872664,0.23184015013653658,0.004019737243652344,0.016219139099121094,0.01219940185546875,0.0,0.0,0.0,3.0,80.0,77.0,0.1,0.05,25.0,42
XGBoost,5B. Sudden Object Section 2,0.4960851480303401,0.864704457364341,0.3686193093340009,0.005263328552246094,0.001192331314086914,-0.00407099723815918,0.0,0.0,0.0,123.0,141.0,18.0,0.1,0.05,25.0,42
XGBoost,5C. Sudden Object Section 3,0.7460541850494004,0.8738709545936252,0.12781676954422483,0.004001617431640625,0.005068302154541016,0.0010666847229003906,0.0,0.0,0.0,122.0,161.0,39.0,0.1,0.05,25.0,42
XGBoost,5D. Sudden Object Section 4,0.7459433714360794,0.8634838533114395,0.11754048187536015,0.027099132537841797,0.002507448196411133,-0.024591684341430664,0.0,0.0,0.0,120.0,124.0,4.0,0.1,0.05,25.0,42
XGBoost,5E. Sudden Object Section 5,0.7460156842904123,0.6918470418470418,-0.054168642443370496,0.005401611328125,0.0057065486907958984,0.00030493736267089844,0.0,0.0,0.0,119.0,149.0,30.0,0.1,0.05,25.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.9860907592363085,0.9533824096637327,-0.032708349572575846,0.007795810699462891,0.010040044784545898,0.002244234085083008,0.0,0.0,0.0,236.0,232.0,-4.0,0.1,0.05,25.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.9803883535213883,0.9140762987911419,-0.06631205473024637,0.031529903411865234,0.0013556480407714844,-0.03017425537109375,0.0,0.0,0.0,230.0,286.0,56.0,0.1,0.05,25.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.9814346963856767,0.9352921489906026,-0.04614254739507406,0.005670070648193359,0.0025937557220458984,-0.003076314926147461,0.0,0.0,0.0,238.0,236.0,-2.0,0.1,0.05,25.0,42
XGBoost,6D. Object Path 2→5→Free,0.9040922411849729,0.8907269152217485,-0.013365325963224373,0.005336284637451172,0.06070852279663086,0.05537223815917969,0.0,0.0,0.0,237.0,283.0,46.0,0.1,0.05,25.0,42
XGBoost,6E. Object Path 3→5→Free,0.7411456964280498,0.8976884779516359,0.15654278152358603,0.00045490264892578125,0.015771865844726562,0.015316963195800781,0.0,0.0,0.0,234.0,255.0,21.0,0.1,0.05,25.0,42
XGBoost,6F. Object Path 4→5→Free,0.7365178750322008,0.9025899434734022,0.16607206844120137,0.026765823364257812,0.004715442657470703,-0.02205038070678711,0.0,0.0,0.0,241.0,249.0,8.0,0.1,0.05,25.0,42
