model,condition,seed,csv_path,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,mttd_mean,mttd_std,nmr_mean,nmr_std
RB,baseline,42,,,,,,,,,,,,,
RB,moderate,42,results/robustness_final2\rb\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
RB,severe,42,results/robustness_final2\rb\severe\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
BF,baseline,42,results/robustness_final2\bf\baseline\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
BF,moderate,42,results/robustness_final2\bf\moderate\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
BF,severe,42,results/robustness_final2\bf\severe\robustness_degradation_summary.csv,,,,,0.0,0.0,nan,0.0,nan,0.0,nan,0.0
DS,baseline,42,,,,,,,,,,,,,
DS,moderate,42,,,,,,,,,,,,,
DS,severe,42,,,,,,,,,,,,,
XGB,baseline,42,results/robustness_final2\xgb\baseline\robustness_degradation_summary.csv,,,,,-0.010606060606060603,0.0,0.0,0.0,nan,0.0,-0.13333333333333333,0.0
XGB,moderate,42,results/robustness_final2\xgb\moderate\robustness_degradation_summary.csv,,,,,0.1320585486795164,0.0,0.0,0.0,0.645268440246582,0.0,4.133333333333334,0.0
XGB,severe,42,results/robustness_final2\xgb\severe\robustness_degradation_summary.csv,,,,,0.19661489825963507,0.0,0.0,0.0,0.21205592155456543,0.0,10.4,0.0
SMLP,baseline,42,results/robustness_final2\smlp\baseline\robustness_degradation_summary.csv,,,,,-0.017117117117117116,0.0,0.0,0.0,nan,0.0,0.0,0.0
SMLP,moderate,42,results/robustness_final2\smlp\moderate\robustness_degradation_summary.csv,,,,,0.16508660297377778,0.0,0.0,0.0,nan,0.0,3.2666666666666666,0.0
SMLP,severe,42,results/robustness_final2\smlp\severe\robustness_degradation_summary.csv,,,,,0.24919269347817938,0.0,0.0,0.0,0.32337939739227295,0.0,6.666666666666667,0.0
TS,baseline,42,results/robustness_final2\ts\baseline\robustness_degradation_summary.csv,,,,,-0.03333333333333333,0.0,0.0,0.0,nan,0.0,-0.6666666666666666,0.0
TS,moderate,42,results/robustness_final2\ts\moderate\robustness_degradation_summary.csv,,,,,0.030941158514687928,0.0,0.0,0.0,nan,0.0,2.8,0.0
TS,severe,42,results/robustness_final2\ts\severe\robustness_degradation_summary.csv,,,,,0.21086765086765086,0.0,0.0,0.0,0.19509029388427734,0.0,10.2,0.0
HB,baseline,42,results/robustness_final2\hb\baseline\robustness_degradation_summary.csv,,,,,-0.03333333333333333,0.0,0.0,0.0,nan,0.0,0.0,0.0
HB,moderate,42,results/robustness_final2\hb\moderate\robustness_degradation_summary.csv,,,,,0.2,0.0,0.0,0.0,0.4175422191619873,0.0,5.2,0.0
HB,severe,42,results/robustness_final2\hb\severe\robustness_degradation_summary.csv,,,,,0.32936507936507936,0.0,0.0,0.0,0.13541698455810547,0.0,7.533333333333333,0.0
