model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,0.5,0.5,0.0,0.04929661750793457,0.4668388366699219,0.4175422191619873,0.0,0.0,0.0,5.0,6.0,1.0,0.1,0.05,25.0,42
Hybrid,2. Slowly Appearing Object: Section 5→2→1,0.25,0.5,0.25,nan,0.6798806190490723,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
Hybrid,3. Slowly Appearing Object: Section 5→3,0.25,0.5,0.25,nan,0.5341250896453857,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
Hybrid,4. Slowly Appearing Object: Section 5→4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,5A. Sudden Object Section 1,0.25,0.5,0.25,nan,0.7071819305419922,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
Hybrid,5B. Sudden Object Section 2,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,5C. Sudden Object Section 3,0.25,0.5,0.25,nan,0.8362717628479004,nan,0.0,0.0,0.0,0.0,4.0,4.0,0.1,0.05,25.0,42
Hybrid,5D. Sudden Object Section 4,0.25,0.75,0.5,nan,0.018667936325073242,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.1,0.05,25.0,42
Hybrid,5E. Sudden Object Section 5,0.25,0.5,0.25,nan,0.03478670120239258,nan,0.0,0.0,0.0,0.0,4.0,4.0,0.1,0.05,25.0,42
Hybrid,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.05034375190734863,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.1,0.05,25.0,42
Hybrid,6B. Object Path 1→3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,6C. Object Path 1→4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,6D. Object Path 2→5→Free,0.25,0.75,0.5,nan,0.03188133239746094,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.1,0.05,25.0,42
Hybrid,6E. Object Path 3→5→Free,0.25,0.5,0.25,nan,0.03735852241516113,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
Hybrid,6F. Object Path 4→5→Free,0.25,0.5,0.25,nan,0.4600844383239746,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
