model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.5,0.421875,-0.078125,0.05054831504821777,0.6225168704986572,0.5719685554504395,0.0,0.0,0.0,5.0,3.0,-2.0,0.2,0.1,40.0,42
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.5,0.5,0.0,0.04802656173706055,0.12281680107116699,0.07479023933410645,0.0,0.0,0.0,5.0,11.0,6.0,0.2,0.1,40.0,42
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.25,0.24324324324324326,-0.006756756756756743,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.25,0.75,0.5,nan,0.051099300384521484,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
SmallMLP,5A. Sudden Object Section 1,0.25,0.5,0.25,nan,0.480501651763916,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
SmallMLP,5B. Sudden Object Section 2,0.24358974358974358,0.5,0.2564102564102564,nan,0.8496479988098145,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.2,0.1,40.0,42
SmallMLP,5C. Sudden Object Section 3,0.25,0.4807692307692307,0.23076923076923073,nan,7.700920104980469e-05,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
SmallMLP,5D. Sudden Object Section 4,0.25,0.7164031620553359,0.46640316205533594,nan,0.3237447738647461,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
SmallMLP,5E. Sudden Object Section 5,0.24358974358974358,0.5,0.2564102564102564,nan,0.029836654663085938,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
SmallMLP,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.30957770347595215,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
SmallMLP,6B. Object Path 1→3→5→Free,0.25,0.6488526570048309,0.39885265700483086,nan,0.47936248779296875,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
SmallMLP,6C. Object Path 1→4→5→Free,0.24358974358974358,0.5,0.2564102564102564,nan,0.9564914703369141,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,40.0,42
SmallMLP,6D. Object Path 2→5→Free,0.25,0.7075163398692811,0.4575163398692811,nan,0.04306602478027344,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
SmallMLP,6E. Object Path 3→5→Free,0.25,0.5,0.25,nan,0.0020296573638916016,nan,0.0,0.0,0.0,0.0,15.0,15.0,0.2,0.1,40.0,42
SmallMLP,6F. Object Path 4→5→Free,0.25,0.5,0.25,nan,0.3195929527282715,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
