model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.5,0.5369318181818181,0.03693181818181812,0.04989337921142578,0.24498367309570312,0.19509029388427734,0.0,0.0,0.0,5.0,12.0,7.0,0.2,0.1,40.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.25,0.75,0.5,nan,0.0036270618438720703,nan,0.0,0.0,0.0,0.0,18.0,18.0,0.2,0.1,40.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.25,0.5785714285714285,0.3285714285714285,nan,0.33739447593688965,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
Sequence,5A. Sudden Object Section 1,0.25,0.5,0.25,nan,0.7689645290374756,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
Sequence,5B. Sudden Object Section 2,0.25,0.75,0.5,nan,0.0007886886596679688,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
Sequence,5C. Sudden Object Section 3,0.25,0.6880952380952381,0.4380952380952381,nan,0.11107182502746582,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
Sequence,5D. Sudden Object Section 4,0.25,0.36363636363636365,0.11363636363636365,nan,0.17258167266845703,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
Sequence,5E. Sudden Object Section 5,0.25,0.4173076923076923,0.16730769230769232,nan,0.03351616859436035,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
Sequence,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.9749653339385986,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.1,40.0,42
Sequence,6B. Object Path 1→3→5→Free,0.25,0.25,0.0,nan,0.014064311981201172,nan,0.0,0.0,0.0,0.0,20.0,20.0,0.2,0.1,40.0,42
Sequence,6C. Object Path 1→4→5→Free,0.25,0.16666666666666666,-0.08333333333333334,nan,0.03147292137145996,nan,0.0,0.0,0.0,0.0,18.0,18.0,0.2,0.1,40.0,42
Sequence,6D. Object Path 2→5→Free,0.25,0.75,0.5,nan,0.41063904762268066,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
Sequence,6E. Object Path 3→5→Free,0.25,0.3055555555555556,0.05555555555555558,nan,0.4227871894836426,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
Sequence,6F. Object Path 4→5→Free,0.25,0.35625,0.10625000000000001,nan,0.0230252742767334,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
