model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.4086021505376344,0.4307692307692308,0.022167080231596414,0.0056803226470947266,0.6509487628936768,0.645268440246582,0.0,0.0,0.0,2.0,6.0,4.0,0.1,0.05,25.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.46222222222222226,0.21222222222222226,nan,0.740462064743042,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.24242424242424243,-0.007575757575757569,nan,0.016623735427856445,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.4375,0.1875,nan,0.5886573791503906,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.4291666666666667,0.1791666666666667,nan,0.0392003059387207,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.43560606060606055,0.18560606060606055,nan,0.2558410167694092,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.5070524215698242,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.4291666666666667,0.1791666666666667,nan,0.0280148983001709,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.5,0.25,nan,0.8104066848754883,nan,0.0,0.0,0.0,0.0,4.0,4.0,0.1,0.05,25.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.4182692307692307,0.16826923076923073,nan,0.028620004653930664,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.66875,0.41874999999999996,nan,0.03583645820617676,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.1,0.05,25.0,42
