model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.40909090909090906,0.43560606060606055,0.02651515151515149,0.0050580501556396484,0.21711397171020508,0.21205592155456543,0.0,0.0,0.0,2.0,7.0,5.0,0.2,0.1,40.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.5875,0.3375,nan,0.2551891803741455,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.359375,0.109375,nan,0.0065021514892578125,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.2,0.1,40.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.5916666666666666,0.34166666666666656,nan,0.44194865226745605,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0.1,40.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.503030303030303,0.25303030303030305,nan,0.1842489242553711,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.4182692307692307,0.16826923076923073,nan,0.04015851020812988,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.2,0.1,40.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.47916666666666663,0.22916666666666663,nan,0.02110123634338379,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.4291666666666667,0.1791666666666667,nan,0.24956560134887695,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.42914979757085026,0.17914979757085026,nan,0.008890390396118164,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.2,0.1,40.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.234375,-0.015625,nan,0.00671076774597168,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,40.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.5089743589743589,0.25897435897435894,nan,0.06114339828491211,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.6666666666666666,0.41666666666666663,nan,0.24460053443908691,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.43560606060606055,0.18560606060606055,nan,0.5420792102813721,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.2,0.1,40.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.42261904761904756,0.17261904761904756,nan,0.30620861053466797,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.35714285714285715,0.10714285714285715,nan,0.00792551040649414,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
