model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,1.0,0.7495697074010327,-0.2504302925989673,0.04760622978210449,0.050356388092041016,0.0027501583099365234,0.0,0.0,0.0,300.0,291.0,-9.0,0.0,0.0,0.0,789
Hybrid,2. Slowly Appearing Object: Section 5→2→1,1.0,1.0,0.0,0.04392886161804199,0.05135512351989746,0.007426261901855469,0.0,0.0,0.0,260.0,259.0,-1.0,0.0,0.0,0.0,789
Hybrid,3. Slowly Appearing Object: Section 5→3,0.75,0.75,0.0,5.1366636753082275,0.05036520957946777,-5.08629846572876,0.0,0.0,0.0,335.0,338.0,3.0,0.0,0.0,0.0,789
Hybrid,4. Slowly Appearing Object: Section 5→4,0.7491103202846975,0.75,0.000889679715302516,0.0009052753448486328,0.05013418197631836,0.04922890663146973,0.0,0.0,0.0,336.0,332.0,-4.0,0.0,0.0,0.0,789
Hybrid,5A. Sudden Object Section 1,0.5,0.75,0.25,0.050379037857055664,0.04978179931640625,-0.0005972385406494141,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,789
Hybrid,5B. Sudden Object Section 2,0.49907749077490776,0.5,0.0009225092250922384,0.044640541076660156,0.01371002197265625,-0.030930519104003906,0.0,0.0,0.0,136.0,140.0,4.0,0.0,0.0,0.0,789
Hybrid,5C. Sudden Object Section 3,0.5,0.5,0.0,0.0504002571105957,0.05002093315124512,-0.00037932395935058594,0.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,789
Hybrid,5D. Sudden Object Section 4,0.49907749077490776,0.75,0.25092250922509224,0.05069708824157715,0.04328179359436035,-0.007415294647216797,0.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,789
Hybrid,5E. Sudden Object Section 5,0.5,0.75,0.25,0.04990243911743164,0.050599098205566406,0.0006966590881347656,0.0,0.0,0.0,136.0,135.0,-1.0,0.0,0.0,0.0,789
Hybrid,6A. Object Path 1→2→5→Free,1.0,0.9981878110596052,-0.00181218894039481,0.05013155937194824,0.049944400787353516,-0.00018715858459472656,0.0,0.0,0.0,275.0,276.0,1.0,0.0,0.0,0.0,789
Hybrid,6B. Object Path 1→3→5→Free,1.0,1.0,0.0,0.05029916763305664,0.04985380172729492,-0.00044536590576171875,0.0,0.0,0.0,277.0,271.0,-6.0,0.0,0.0,0.0,789
Hybrid,6C. Object Path 1→4→5→Free,0.9928292382029402,1.0,0.007170761797059777,0.0500178337097168,0.050511837005615234,0.0004940032958984375,0.0,0.0,0.0,279.0,275.0,-4.0,0.0,0.0,0.0,789
Hybrid,6D. Object Path 2→5→Free,0.75,0.7481878110596052,-0.00181218894039481,0.05007171630859375,0.050290822982788086,0.00021910667419433594,0.0,0.0,0.0,276.0,276.0,0.0,0.0,0.0,0.0,789
Hybrid,6E. Object Path 3→5→Free,0.7481878110596052,1.0,0.2518121889403948,0.05038332939147949,0.049386024475097656,-0.000997304916381836,0.0,0.0,0.0,276.0,270.0,-6.0,0.0,0.0,0.0,789
Hybrid,6F. Object Path 4→5→Free,1.0,0.75,-0.25,0.053134918212890625,0.04993844032287598,-0.0031964778900146484,0.0,0.0,0.0,275.0,276.0,1.0,0.0,0.0,0.0,789
