model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,1.0,0.8205974394566874,-0.1794025605433126,0.04938817024230957,0.04703712463378906,-0.002351045608520508,0.0,0.0,0.0,300.0,366.0,66.0,0.1,0.05,25.0,789
Hybrid,2. Slowly Appearing Object: Section 5→2→1,1.0,0.995187182064638,-0.004812817935362035,0.04389238357543945,0.050331830978393555,0.0064394474029541016,0.0,0.0,0.0,260.0,316.0,56.0,0.1,0.05,25.0,789
Hybrid,3. Slowly Appearing Object: Section 5→3,0.75,0.9985442922807934,0.24854429228079344,0.0621333122253418,0.02829122543334961,-0.03384208679199219,0.0,0.0,0.0,331.0,368.0,37.0,0.1,0.05,25.0,789
Hybrid,4. Slowly Appearing Object: Section 5→4,0.7453917050691244,1.0,0.25460829493087556,0.05029630661010742,0.04993033409118652,-0.00036597251892089844,0.0,0.0,0.0,338.0,353.0,15.0,0.1,0.05,25.0,789
Hybrid,5A. Sudden Object Section 1,0.5,1.0,0.5,0.01713085174560547,0.005491018295288086,-0.011639833450317383,0.0,0.0,0.0,0.0,32.0,32.0,0.1,0.05,25.0,789
Hybrid,5B. Sudden Object Section 2,0.5,0.75,0.25,0.050048112869262695,0.05004763603210449,-4.76837158203125e-07,0.0,0.0,0.0,140.0,176.0,36.0,0.1,0.05,25.0,789
Hybrid,5C. Sudden Object Section 3,0.5,1.0,0.5,0.05049419403076172,0.05025529861450195,-0.00023889541625976562,0.0,0.0,0.0,139.0,165.0,26.0,0.1,0.05,25.0,789
Hybrid,5D. Sudden Object Section 4,0.4964788732394366,1.0,0.5035211267605634,0.050024986267089844,0.05011272430419922,8.7738037109375e-05,0.0,0.0,0.0,144.0,169.0,25.0,0.1,0.05,25.0,789
Hybrid,5E. Sudden Object Section 5,0.5,1.0,0.5,0.05005359649658203,0.019222497940063477,-0.030831098556518555,0.0,0.0,0.0,136.0,189.0,53.0,0.1,0.05,25.0,789
Hybrid,6A. Object Path 1→2→5→Free,1.0,0.9984194045429693,-0.001580595457030709,0.013676643371582031,0.05023336410522461,0.03655672073364258,0.0,0.0,0.0,275.0,318.0,43.0,0.1,0.05,25.0,789
Hybrid,6B. Object Path 1→3→5→Free,1.0,1.0,0.0,0.05025529861450195,0.050460100173950195,0.0002048015594482422,0.0,0.0,0.0,140.0,293.0,153.0,0.1,0.05,25.0,789
Hybrid,6C. Object Path 1→4→5→Free,0.9963887150604923,1.0,0.0036112849395076863,0.05023622512817383,0.05161285400390625,0.0013766288757324219,0.0,0.0,0.0,277.0,321.0,44.0,0.1,0.05,25.0,789
Hybrid,6D. Object Path 2→5→Free,0.75,0.9966546233105849,0.24665462331058485,0.049965858459472656,0.05012202262878418,0.00015616416931152344,0.0,0.0,0.0,279.0,300.0,21.0,0.1,0.05,25.0,789
Hybrid,6E. Object Path 3→5→Free,0.7481878110596052,1.0,0.2518121889403948,0.03502798080444336,0.03507566452026367,4.76837158203125e-05,0.0,0.0,0.0,276.0,293.0,17.0,0.1,0.05,25.0,789
Hybrid,6F. Object Path 4→5→Free,1.0,0.9983495473511053,-0.0016504526488947402,0.05032849311828613,0.050226688385009766,-0.00010180473327636719,0.0,0.0,0.0,275.0,303.0,28.0,0.1,0.05,25.0,789
