model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.9923041694117516,0.9798713809432985,-0.012432788468453082,0.04983258247375488,0.5125632286071777,0.46273064613342285,0.0,0.0,0.0,293.0,408.0,115.0,0.2,0.1,40.0,789
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.9912068149166888,0.9748544841368891,-0.016352330779799695,0.043253183364868164,0.051476478576660156,0.008223295211791992,0.0,0.0,0.0,249.0,366.0,117.0,0.2,0.1,40.0,789
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.7437304003331737,0.9781612587371472,0.23443085840397349,0.05079293251037598,0.05064964294433594,-0.00014328956604003906,0.0,0.0,0.0,334.0,340.0,6.0,0.2,0.1,40.0,789
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.7451465625217717,0.9808085654748848,0.23566200295311313,0.024716854095458984,0.051036834716796875,0.02631998062133789,0.0,0.0,0.0,330.0,385.0,55.0,0.2,0.1,40.0,789
SmallMLP,5A. Sudden Object Section 1,0.5,0.9836701329989921,0.4836701329989921,5.077427864074707,1.0286695957183838,-4.048758268356323,0.0,0.0,0.0,0.0,122.0,122.0,0.2,0.1,40.0,789
SmallMLP,5B. Sudden Object Section 2,0.498300550024688,0.9796412013706914,0.48134065134600346,0.05051779747009277,0.050759315490722656,0.0002415180206298828,0.0,0.0,0.0,137.0,202.0,65.0,0.2,0.1,40.0,789
SmallMLP,5C. Sudden Object Section 3,0.5,0.9922619047619048,0.4922619047619048,0.050913095474243164,0.2054150104522705,0.15450191497802734,0.0,0.0,0.0,136.0,182.0,46.0,0.2,0.1,40.0,789
SmallMLP,5D. Sudden Object Section 4,0.5,0.9862227324913893,0.48622273249138925,0.05075836181640625,0.050909996032714844,0.00015163421630859375,0.0,0.0,0.0,143.0,200.0,57.0,0.2,0.1,40.0,789
SmallMLP,5E. Sudden Object Section 5,0.49907063197026025,0.7252155172413793,0.2261448852711191,5.1718430519104,0.30841517448425293,-4.8634278774261475,0.0,0.0,0.0,135.0,207.0,72.0,0.2,0.1,40.0,789
SmallMLP,6A. Object Path 1→2→5→Free,0.9918593478435164,0.9950498608251649,0.003190512981648519,0.051201581954956055,0.051230669021606445,2.9087066650390625e-05,0.0,0.0,0.0,270.0,342.0,72.0,0.2,0.1,40.0,789
SmallMLP,6B. Object Path 1→3→5→Free,0.9959620546421317,0.9919264564573489,-0.004035598184782829,0.05075669288635254,0.012115240097045898,-0.03864145278930664,0.0,0.0,0.0,277.0,326.0,49.0,0.2,0.1,40.0,789
SmallMLP,6C. Object Path 1→4→5→Free,0.99598868180131,0.995285919245747,-0.0007027625555628969,0.05103778839111328,0.047933340072631836,-0.0031044483184814453,0.0,0.0,0.0,275.0,322.0,47.0,0.2,0.1,40.0,789
SmallMLP,6D. Object Path 2→5→Free,0.746200073432425,0.9867823602037633,0.2405822867713383,3.1409387588500977,0.3088414669036865,-2.832097291946411,0.0,0.0,0.0,276.0,316.0,40.0,0.2,0.1,40.0,789
SmallMLP,6E. Object Path 3→5→Free,0.7481809522549577,0.9946778711484594,0.24649691889350167,3.0923969745635986,0.05069446563720703,-3.0417025089263916,0.0,0.0,0.0,275.0,285.0,10.0,0.2,0.1,40.0,789
SmallMLP,6F. Object Path 4→5→Free,0.7481615410611693,0.9937303459119496,0.24556880485078036,0.0512850284576416,0.05177474021911621,0.0004897117614746094,0.0,0.0,0.0,272.0,319.0,47.0,0.2,0.1,40.0,789
