model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.9764636657840541,0.9946447053279288,0.018181039543874733,0.05001044273376465,0.001672983169555664,-0.048337459564208984,0.0,0.0,0.0,296.0,372.0,76.0,0.1,0.05,25.0,789
Sequence,2. Slowly Appearing Object: Section 5→2→1,1.0,0.9638358940948658,-0.03616410590513419,0.044628143310546875,1.0220704078674316,0.9774422645568848,0.0,0.07692307692307693,0.07692307692307693,128.0,338.0,210.0,0.1,0.05,25.0,789
Sequence,3. Slowly Appearing Object: Section 5→3,0.4425842733035079,0.5755183605379968,0.13293408723448885,5.16933012008667,0.050160884857177734,-5.119169235229492,0.0,0.8571428571428571,0.8571428571428571,331.0,387.0,56.0,0.1,0.05,25.0,789
Sequence,4. Slowly Appearing Object: Section 5→4,0.611289323481262,0.7273975452465155,0.11610822176525348,5.257258415222168,0.0509033203125,-5.206355094909668,0.0,0.7058823529411765,0.7058823529411765,330.0,354.0,24.0,0.1,0.05,25.0,789
Sequence,5A. Sudden Object Section 1,0.49651370292021696,0.932618941513045,0.43610523859282807,0.0504910945892334,0.05112195014953613,0.0006308555603027344,0.02097902097902098,0.1297709923664122,0.10879197138739123,4.0,67.0,63.0,0.1,0.05,25.0,789
Sequence,5B. Sudden Object Section 2,0.5,1.0,0.5,0.0048716068267822266,0.05084109306335449,0.045969486236572266,0.0,0.0,0.0,136.0,171.0,35.0,0.1,0.05,25.0,789
Sequence,5C. Sudden Object Section 3,0.49829379171534666,0.6847409306244273,0.18644713890908066,5.166441917419434,0.04912447929382324,-5.11731743812561,0.0,0.0,0.0,136.0,182.0,46.0,0.1,0.05,25.0,789
Sequence,5D. Sudden Object Section 4,0.5,0.8883116883116884,0.3883116883116884,0.03648781776428223,0.02191781997680664,-0.014569997787475586,0.0,0.6,0.6,136.0,183.0,47.0,0.1,0.05,25.0,789
Sequence,5E. Sudden Object Section 5,0.255674049767569,0.4118819776714513,0.15620792790388227,0.026114940643310547,0.0515134334564209,0.02539849281311035,0.0,1.0,1.0,138.0,190.0,52.0,0.1,0.05,25.0,789
Sequence,6A. Object Path 1→2→5→Free,0.9958719585067525,0.9300401223965441,-0.06583183611020837,0.039453744888305664,0.05134105682373047,0.011887311935424805,0.009900990099009901,0.24175824175824176,0.23185725165923185,272.0,338.0,66.0,0.1,0.05,25.0,789
Sequence,6B. Object Path 1→3→5→Free,0.6723243338316771,0.7595916333783288,0.08726729954665169,0.05021309852600098,0.05138969421386719,0.001176595687866211,0.0,0.0297029702970297,0.0297029702970297,276.0,303.0,27.0,0.1,0.05,25.0,789
Sequence,6C. Object Path 1→4→5→Free,0.7945907793548166,0.8716417231697263,0.07705094381490973,0.05100607872009277,0.05029940605163574,-0.0007066726684570312,0.0,0.14942528735632185,0.14942528735632185,276.0,319.0,43.0,0.1,0.05,25.0,789
Sequence,6D. Object Path 2→5→Free,0.7471352472978414,0.9555051065287968,0.2083698592309554,0.009926557540893555,2.0010766983032227,1.991150140762329,1.0,0.1875,-0.8125,277.0,287.0,10.0,0.1,0.05,25.0,789
Sequence,6E. Object Path 3→5→Free,0.4150485436893204,0.5168290043290044,0.10178046063968393,0.0505824089050293,0.2559800148010254,0.2053976058959961,0.0,0.8333333333333334,0.8333333333333334,276.0,296.0,20.0,0.1,0.05,25.0,789
Sequence,6F. Object Path 4→5→Free,0.5963374987300619,0.5868294901801734,-0.009508008549888536,3.1209776401519775,0.02980184555053711,-3.0911757946014404,0.0,1.0,1.0,275.0,312.0,37.0,0.1,0.05,25.0,789
