model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.9764636657840541,0.9702603712579719,-0.006203294526082148,0.049956560134887695,0.10214471817016602,0.05218815803527832,0.0,0.049019607843137254,0.049019607843137254,296.0,410.0,114.0,0.2,0.1,40.0,789
Sequence,2. Slowly Appearing Object: Section 5→2→1,1.0,0.9218950523764562,-0.07810494762354381,0.045572519302368164,0.050125837326049805,0.004553318023681641,0.0,0.19254658385093168,0.19254658385093168,255.0,380.0,125.0,0.2,0.1,40.0,789
Sequence,3. Slowly Appearing Object: Section 5→3,0.4405379401771615,0.7692365520019517,0.3286986118247902,5.112565517425537,0.051050424575805664,-5.0615150928497314,0.0,0.38461538461538464,0.38461538461538464,336.0,386.0,50.0,0.2,0.1,40.0,789
Sequence,4. Slowly Appearing Object: Section 5→4,0.6201298701298701,0.7425484791639981,0.12241860903412805,5.2628493309021,0.05091118812561035,-5.211938142776489,0.0,0.6842105263157895,0.6842105263157895,330.0,372.0,42.0,0.2,0.1,40.0,789
Sequence,5A. Sudden Object Section 1,0.49829379171534666,0.8225945700348175,0.32430077831947085,0.038158416748046875,0.051059722900390625,0.01290130615234375,0.007352941176470588,0.3089430894308943,0.30159014825442376,2.0,65.5,63.5,0.2,0.1,40.0,789
Sequence,5B. Sudden Object Section 2,0.75,0.9498805732484076,0.19988057324840758,0.05023336410522461,0.042119741439819336,-0.008113622665405273,0.0,0.18181818181818182,0.18181818181818182,144.0,198.0,54.0,0.2,0.1,40.0,789
Sequence,5C. Sudden Object Section 3,0.498300550024688,0.8404406793550634,0.3421401293303754,0.02934885025024414,0.008573293685913086,-0.020775556564331055,0.0,0.6,0.6,137.0,112.5,-24.5,0.2,0.1,40.0,789
Sequence,5D. Sudden Object Section 4,0.5,0.8895519310945159,0.3895519310945159,5.162421226501465,0.05114173889160156,-5.111279487609863,0.0,0.0,0.0,135.0,216.0,81.0,0.2,0.1,40.0,789
Sequence,5E. Sudden Object Section 5,0.255674049767569,0.7305098333406881,0.47483578357311906,0.03775739669799805,0.05051875114440918,0.012761354446411133,0.0,0.0,0.0,69.0,228.0,159.0,0.2,0.1,40.0,789
Sequence,6A. Object Path 1→2→5→Free,1.0,0.9086565395388925,-0.09134346046110753,3.1154613494873047,0.019365310668945312,-3.0960960388183594,0.0,0.2564102564102564,0.2564102564102564,270.0,352.0,82.0,0.2,0.1,40.0,789
Sequence,6B. Object Path 1→3→5→Free,0.670316301703163,0.6706775364818824,0.00036123477871941034,0.013796091079711914,0.051259756088256836,0.03746366500854492,0.0,0.4336283185840708,0.4336283185840708,271.0,372.0,101.0,0.2,0.1,40.0,789
Sequence,6C. Object Path 1→4→5→Free,0.835206900439734,0.840493342084814,0.0052864416450799645,0.05083513259887695,0.047666311264038086,-0.003168821334838867,0.0,0.1746031746031746,0.1746031746031746,276.0,374.0,98.0,0.2,0.1,40.0,789
Sequence,6D. Object Path 2→5→Free,0.7470700616491138,0.9148538011695906,0.16778373952047676,0.05059170722961426,0.05111527442932129,0.0005235671997070312,1.0,0.0,-1.0,277.0,312.0,35.0,0.2,0.1,40.0,789
Sequence,6E. Object Path 3→5→Free,0.4150485436893204,0.760812106544627,0.3457635628553066,0.0501704216003418,0.050232887268066406,6.246566772460938e-05,0.0,0.5555555555555556,0.5555555555555556,138.0,301.0,163.0,0.2,0.1,40.0,789
Sequence,6F. Object Path 4→5→Free,0.5652061600729339,0.8181191014441859,0.252912941371252,0.05096793174743652,0.009079694747924805,-0.04188823699951172,0.0,0.2727272727272727,0.2727272727272727,276.0,315.0,39.0,0.2,0.1,40.0,789
