model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,0.5,0.75,0.25,0.0499725341796875,0.22098898887634277,0.17101645469665527,0.0,0.0,0.0,5.0,11.0,6.0,0.2,0.1,40.0,42
Hybrid,2. Slowly Appearing Object: Section 5→2→1,0.25,0.75,0.5,nan,0.025041818618774414,nan,0.0,0.0,0.0,0.0,17.0,17.0,0.2,0.1,40.0,42
Hybrid,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Hybrid,4. Slowly Appearing Object: Section 5→4,0.25,0.75,0.5,nan,0.2976093292236328,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
Hybrid,5A. Sudden Object Section 1,0.25,0.5,0.25,nan,0.7183246612548828,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
Hybrid,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.5262486934661865,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
Hybrid,5C. Sudden Object Section 3,0.25,0.75,0.5,nan,0.07180476188659668,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.2,0.1,40.0,42
Hybrid,5D. Sudden Object Section 4,0.25,0.5,0.25,nan,0.1316661834716797,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
Hybrid,5E. Sudden Object Section 5,0.25,0.75,0.5,nan,0.050437211990356445,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0.1,40.0,42
Hybrid,6A. Object Path 1→2→5→Free,0.25,0.4264705882352941,0.1764705882352941,nan,0.05031442642211914,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
Hybrid,6B. Object Path 1→3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Hybrid,6C. Object Path 1→4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,40.0,42
Hybrid,6D. Object Path 2→5→Free,0.25,0.75,0.5,nan,0.03387761116027832,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
Hybrid,6E. Object Path 3→5→Free,0.25,0.5,0.25,nan,0.03519749641418457,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.2,0.1,40.0,42
Hybrid,6F. Object Path 4→5→Free,0.25,0.75,0.5,nan,0.05057263374328613,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
