model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
SmallMLP,1. Parking Scenario,0.5,0.7103174603174603,0.21031746031746035,0.051262617111206055,0.3298516273498535,0.27858901023864746,0.0,0.0,0.0,5.0,9.0,4.0,0.2,0.1,40.0,42
SmallMLP,2. Slowly Appearing Object: Section 5→2→1,0.25,0.75,0.5,nan,0.9049925804138184,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,40.0,42
SmallMLP,3. Slowly Appearing Object: Section 5→3,0.25,0.9642857142857143,0.7142857142857143,nan,3.147125244140625e-05,nan,0.0,0.0,0.0,0.0,9.0,9.0,0.2,0.1,40.0,42
SmallMLP,4. Slowly Appearing Object: Section 5→4,0.25,0.5,0.25,nan,0.4601149559020996,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
SmallMLP,5A. Sudden Object Section 1,0.24358974358974358,0.5,0.2564102564102564,nan,0.2625312805175781,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
SmallMLP,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.5869019031524658,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
SmallMLP,5C. Sudden Object Section 3,0.25,0.5,0.25,nan,0.07772493362426758,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
SmallMLP,5D. Sudden Object Section 4,0.24358974358974358,0.736842105263158,0.49325236167341435,nan,7.343292236328125e-05,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
SmallMLP,5E. Sudden Object Section 5,0.25,0.5,0.25,nan,0.2205827236175537,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0.1,40.0,42
SmallMLP,6A. Object Path 1→2→5→Free,0.25,0.6354166666666666,0.38541666666666663,nan,0.031388282775878906,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.2,0.1,40.0,42
SmallMLP,6B. Object Path 1→3→5→Free,0.25,0.44833333333333336,0.19833333333333336,nan,0.050484418869018555,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0.1,40.0,42
SmallMLP,6C. Object Path 1→4→5→Free,0.25,0.5,0.25,nan,0.019158124923706055,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
SmallMLP,6D. Object Path 2→5→Free,0.25,0.46360153256704983,0.21360153256704983,nan,0.23485875129699707,nan,0.0,0.0,0.0,0.0,4.0,4.0,0.2,0.1,40.0,42
SmallMLP,6E. Object Path 3→5→Free,0.25,0.4913793103448276,0.24137931034482762,nan,0.46324658393859863,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.2,0.1,40.0,42
SmallMLP,6F. Object Path 4→5→Free,0.24358974358974358,0.6994949494949495,0.4559052059052059,nan,0.11620759963989258,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.2,0.1,40.0,42
