model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.5,0.5,0.0,0.049137115478515625,0.32446718215942383,0.2753300666809082,0.0,0.0,0.0,5.0,8.0,3.0,0.1,0.05,25.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.25,0.48351648351648346,0.23351648351648346,nan,0.029579877853393555,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.1,0.05,25.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.25,0.4955357142857143,0.2455357142857143,nan,0.05048084259033203,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.1,0.05,25.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,5A. Sudden Object Section 1,0.25,0.5,0.25,nan,0.6363294124603271,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
Sequence,5B. Sudden Object Section 2,0.25,0.6865079365079365,0.4365079365079365,nan,0.03171944618225098,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
Sequence,5C. Sudden Object Section 3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,5D. Sudden Object Section 4,0.25,0.6333333333333333,0.3833333333333333,nan,0.21495318412780762,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.1,0.05,25.0,42
Sequence,5E. Sudden Object Section 5,0.25,0.59375,0.34375,nan,0.28315138816833496,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.1,0.05,25.0,42
Sequence,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.9597809314727783,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
Sequence,6B. Object Path 1→3→5→Free,0.25,0.5,0.25,nan,0.05081009864807129,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
Sequence,6C. Object Path 1→4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6D. Object Path 2→5→Free,0.25,0.5,0.25,nan,0.011809587478637695,nan,0.0,0.0,0.0,0.0,20.0,20.0,0.1,0.05,25.0,42
Sequence,6E. Object Path 3→5→Free,0.25,0.42500000000000004,0.17500000000000004,nan,0.027381181716918945,nan,0.0,0.0,0.0,0.0,11.0,11.0,0.1,0.05,25.0,42
Sequence,6F. Object Path 4→5→Free,0.25,0.22402597402597402,-0.025974025974025983,nan,0.025613069534301758,nan,0.0,0.0,0.0,0.0,14.0,14.0,0.1,0.05,25.0,42
