model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Hybrid,1. Parking Scenario,0.25,0.5,0.25,0.04974961280822754,0.48131442070007324,0.4315648078918457,0.0,0.0,0.0,5.0,6.0,1.0,0.1,0.05,25.0,42
Hybrid,2. Slowly Appearing Object: Section 5→2→1,0.25,0.5,0.25,nan,0.697782039642334,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
Hybrid,3. Slowly Appearing Object: Section 5→3,0.25,0.5,0.25,nan,0.561331033706665,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
Hybrid,4. Slowly Appearing Object: Section 5→4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,5A. Sudden Object Section 1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.2214794158935547,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
Hybrid,5C. Sudden Object Section 3,0.25,0.24358974358974358,-0.006410256410256415,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,5D. Sudden Object Section 4,0.25,0.5,0.25,nan,0.20458054542541504,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.1,0.05,25.0,42
Hybrid,5E. Sudden Object Section 5,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Hybrid,6A. Object Path 1→2→5→Free,0.25,0.75,0.5,nan,0.23069334030151367,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
Hybrid,6B. Object Path 1→3→5→Free,0.25,0.5,0.25,nan,0.03754472732543945,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.1,0.05,25.0,42
Hybrid,6C. Object Path 1→4→5→Free,0.25,0.5,0.25,nan,0.2546241283416748,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
Hybrid,6D. Object Path 2→5→Free,0.25,0.75,0.5,nan,0.10428094863891602,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.1,0.05,25.0,42
Hybrid,6E. Object Path 3→5→Free,0.25,0.5,0.25,nan,0.11368536949157715,nan,0.0,0.0,0.0,0.0,10.0,10.0,0.1,0.05,25.0,42
Hybrid,6F. Object Path 4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
