model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
Sequence,1. Parking Scenario,0.5,0.25,-0.25,0.05009055137634277,nan,nan,0.0,0.0,0.0,5.0,0.0,-5.0,0.1,0.05,25.0,42
Sequence,2. Slowly Appearing Object: Section 5→2→1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,3. Slowly Appearing Object: Section 5→3,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,4. Slowly Appearing Object: Section 5→4,0.25,0.3141025641025641,0.0641025641025641,nan,0.031525373458862305,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
Sequence,5A. Sudden Object Section 1,0.25,0.3141025641025641,0.0641025641025641,nan,0.5206294059753418,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
Sequence,5B. Sudden Object Section 2,0.25,0.5,0.25,nan,0.33496785163879395,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
Sequence,5C. Sudden Object Section 3,0.25,0.75,0.5,nan,0.03640270233154297,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
Sequence,5D. Sudden Object Section 4,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,5E. Sudden Object Section 5,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6A. Object Path 1→2→5→Free,0.25,0.5,0.25,nan,0.49413394927978516,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6B. Object Path 1→3→5→Free,0.25,0.3141025641025641,0.0641025641025641,nan,0.25731945037841797,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
Sequence,6C. Object Path 1→4→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
Sequence,6D. Object Path 2→5→Free,0.25,0.45,0.2,nan,0.7035081386566162,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
Sequence,6E. Object Path 3→5→Free,0.25,0.24358974358974358,-0.006410256410256415,nan,0.0015676021575927734,nan,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.05,25.0,42
Sequence,6F. Object Path 4→5→Free,0.25,0.375,0.125,nan,0.06432771682739258,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
