model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
XGBoost,1. Parking Scenario,0.40909090909090906,0.25,-0.15909090909090906,0.005463361740112305,nan,nan,0.0,0.0,0.0,2.0,0.0,-2.0,0.1,0.05,25.0,42
XGBoost,2. Slowly Appearing Object: Section 5→2→1,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,3. Slowly Appearing Object: Section 5→3,0.25,0.4375,0.1875,nan,0.23502731323242188,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,4. Slowly Appearing Object: Section 5→4,0.25,0.6772727272727272,0.42727272727272725,nan,0.45244908332824707,nan,0.0,0.0,0.0,0.0,7.0,7.0,0.1,0.05,25.0,42
XGBoost,5A. Sudden Object Section 1,0.25,0.3712121212121212,0.12121212121212122,nan,0.020906686782836914,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.1,0.05,25.0,42
XGBoost,5B. Sudden Object Section 2,0.25,0.44155844155844154,0.19155844155844154,nan,0.17952680587768555,nan,0.0,0.0,0.0,0.0,12.0,12.0,0.1,0.05,25.0,42
XGBoost,5C. Sudden Object Section 3,0.25,0.234375,-0.015625,nan,0.03554129600524902,nan,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.05,25.0,42
XGBoost,5D. Sudden Object Section 4,0.25,0.5833333333333333,0.33333333333333326,nan,0.5427169799804688,nan,0.0,0.0,0.0,0.0,8.0,8.0,0.1,0.05,25.0,42
XGBoost,5E. Sudden Object Section 5,0.25,0.6687500000000001,0.41875000000000007,nan,0.005689144134521484,nan,0.0,0.0,0.0,0.0,13.0,13.0,0.1,0.05,25.0,42
XGBoost,6A. Object Path 1→2→5→Free,0.25,0.359375,0.109375,nan,0.00037288665771484375,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.1,0.05,25.0,42
XGBoost,6B. Object Path 1→3→5→Free,0.25,0.25,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,25.0,42
XGBoost,6C. Object Path 1→4→5→Free,0.25,0.447463768115942,0.19746376811594202,nan,0.6558489799499512,nan,0.0,0.0,0.0,0.0,3.5,3.5,0.1,0.05,25.0,42
XGBoost,6D. Object Path 2→5→Free,0.25,0.46640316205533594,0.21640316205533594,nan,0.6922519207000732,nan,0.0,0.0,0.0,0.0,6.0,6.0,0.1,0.05,25.0,42
XGBoost,6E. Object Path 3→5→Free,0.25,0.4413793103448276,0.19137931034482758,nan,0.02465367317199707,nan,0.0,0.0,0.0,0.0,3.0,3.0,0.1,0.05,25.0,42
XGBoost,6F. Object Path 4→5→Free,0.25,0.4182692307692307,0.16826923076923073,nan,0.007094621658325195,nan,0.0,0.0,0.0,0.0,5.0,5.0,0.1,0.05,25.0,42
