model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
CANBusSimulator,1. Parking Scenario,0.7490494296577946,0.9983660130718954,0.2493165834141008,0.05045723915100098,0.05120160705164859,0.0007443679006476148,0.0,0.0,0.0,147.0,213.5,66.5,0.2,0.1,40.0,42
CANBusSimulator,2. Slowly Appearing Object: Section 5→2→1,0.9992957746478873,0.998730964467005,-0.0005648101808822803,0.05061769485473633,0.05089303363453258,0.0002753387797962553,0.0,0.0,0.0,127.0,168.5,41.5,0.2,0.1,40.0,42
CANBusSimulator,3. Slowly Appearing Object: Section 5→3,0.7492063492063492,0.9994692144373674,0.25026286523101815,0.050357818603515625,0.050823542536521445,0.00046572393300581966,0.0,0.0,0.0,167.0,191.0,24.0,0.2,0.1,40.0,42
CANBusSimulator,4. Slowly Appearing Object: Section 5→4,0.749211356466877,0.9994623655913979,0.2502510091245209,0.05037975311279297,0.05152885537398489,0.0011491022611919213,0.0,0.0,0.0,166.5,194.5,28.0,0.2,0.1,40.0,42
CANBusSimulator,5A. Sudden Object Section 1,0.4992063492063492,0.9983870967741936,0.49918074756784436,0.05048060417175293,0.05115419030189514,0.0006735861301422133,0.0,0.0,0.0,0.0,48.0,48.0,0.2,0.1,40.0,42
CANBusSimulator,5B. Sudden Object Section 2,0.4992063492063492,0.9991961414790997,0.49998979227275053,0.05050539970397949,0.05116119495657987,0.0006557952526003788,0.0,0.0,0.0,68.5,94.5,26.0,0.2,0.1,40.0,42
CANBusSimulator,5C. Sudden Object Section 3,0.4992012779552716,0.9983443708609272,0.4991430929056556,0.05044102668762207,0.050916779608953563,0.00047575292133149316,0.0,0.0,0.0,69.0,100.0,31.0,0.2,0.1,40.0,42
CANBusSimulator,5D. Sudden Object Section 4,0.4992063492063492,0.9984848484848485,0.4992784992784993,0.050262451171875,0.051178826226128474,0.0009163750542534738,0.0,0.0,0.0,68.5,99.5,31.0,0.2,0.1,40.0,42
CANBusSimulator,5E. Sudden Object Section 5,0.4992012779552716,0.9984848484848485,0.49928357052957695,0.05046200752258301,0.05064456803458078,0.00018256051199776885,0.0,0.0,0.0,68.5,101.0,32.5,0.2,0.1,40.0,42
CANBusSimulator,6A. Object Path 1→2→5→Free,0.9989361702127659,0.9993540051679587,0.00041783495519276403,0.05067634582519531,0.05188734116761581,0.0012109953424204942,0.0,0.0,0.0,137.5,162.0,24.5,0.2,0.1,40.0,42
CANBusSimulator,6B. Object Path 1→3→5→Free,0.998945147679325,0.9982014388489209,-0.0007437088304040884,0.05124306678771973,0.05107422007454766,-0.00016884671317206335,0.0,0.0,0.0,136.5,157.5,21.0,0.2,0.1,40.0,42
CANBusSimulator,6C. Object Path 1→4→5→Free,0.998945147679325,0.9976635514018692,-0.001281596277455721,0.050568580627441406,0.05077555871778919,0.00020697809034778136,0.0,0.0,0.0,137.5,165.5,28.0,0.2,0.1,40.0,42
CANBusSimulator,6D. Object Path 2→5→Free,0.7489361702127659,0.9978632478632479,0.24892707765048194,0.05061984062194824,0.05078737359297903,0.0001675329710307885,0.0,0.0,0.0,137.0,154.0,17.0,0.2,0.1,40.0,42
CANBusSimulator,6E. Object Path 3→5→Free,0.748945147679325,0.9935897435897436,0.24464459591041865,0.050350189208984375,0.05081605911254883,0.0004658699035644531,0.0,0.0,0.0,137.5,159.5,22.0,0.2,0.1,40.0,42
CANBusSimulator,6F. Object Path 4→5→Free,0.748945147679325,0.9992836676217766,0.2503385199424516,0.050580501556396484,0.050870565807118136,0.0002900642507216514,0.0,0.0,0.0,137.5,152.5,15.0,0.2,0.1,40.0,42
