model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
CANBusSimulator,1. Parking Scenario,0.7490636704119851,0.7492063492063492,0.00014267879436413722,0.05035257339477539,0.05054497718811035,0.00019240379333496094,0.0,0.0,0.0,147.5,147.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,2. Slowly Appearing Object: Section 5→2→1,0.9992957746478873,0.9992957746478873,0.0,0.05073189735412598,0.05065608024597168,-7.581710815429688e-05,0.0,0.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,42
CANBusSimulator,3. Slowly Appearing Object: Section 5→3,0.7492063492063492,0.7492063492063492,0.0,0.05063772201538086,0.05051088333129883,-0.00012683868408203125,0.0,0.0,0.0,166.5,167.0,0.5,0.0,0.0,0.0,42
CANBusSimulator,4. Slowly Appearing Object: Section 5→4,0.7492063492063492,0.7492063492063492,0.0,0.05052495002746582,0.05088210105895996,0.0003571510314941406,0.0,0.0,0.0,167.0,167.0,0.0,0.0,0.0,0.0,42
CANBusSimulator,5A. Sudden Object Section 1,0.499211356466877,0.4992063492063492,-5.007260527767343e-06,0.05054640769958496,0.05042004585266113,-0.00012636184692382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
CANBusSimulator,5B. Sudden Object Section 2,0.4992063492063492,0.499211356466877,5.007260527767343e-06,0.050472259521484375,0.05098581314086914,0.0005135536193847656,0.0,0.0,0.0,68.5,68.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,5C. Sudden Object Section 3,0.4992012779552716,0.4992063492063492,5.071251077626293e-06,0.05075550079345703,0.0505521297454834,-0.0002033710479736328,0.0,0.0,0.0,69.0,68.5,-0.5,0.0,0.0,0.0,42
CANBusSimulator,5D. Sudden Object Section 4,0.4992063492063492,0.4992063492063492,0.0,0.05068564414978027,0.05086040496826172,0.0001747608184814453,0.0,0.0,0.0,68.5,68.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,5E. Sudden Object Section 5,0.4992012779552716,0.4992063492063492,5.071251077626293e-06,0.05045890808105469,0.05038142204284668,-7.748603820800781e-05,0.0,0.0,0.0,69.0,68.5,-0.5,0.0,0.0,0.0,42
CANBusSimulator,6A. Object Path 1→2→5→Free,0.9989361702127659,0.998945147679325,8.977466559034752e-06,0.051868438720703125,0.0505213737487793,-0.0013470649719238281,0.0,0.0,0.0,137.5,137.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,6B. Object Path 1→3→5→Free,0.998945147679325,0.998945147679325,0.0,0.05052614212036133,0.05054974555969238,2.3603439331054688e-05,0.0,0.0,0.0,138.0,137.5,-0.5,0.0,0.0,0.0,42
CANBusSimulator,6C. Object Path 1→4→5→Free,0.998945147679325,0.998945147679325,0.0,0.050560951232910156,0.05093264579772949,0.00037169456481933594,0.0,0.0,0.0,137.5,137.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,6D. Object Path 2→5→Free,0.748945147679325,0.748945147679325,0.0,0.050536394119262695,0.05030345916748047,-0.00023293495178222656,0.0,0.0,0.0,137.5,137.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,6E. Object Path 3→5→Free,0.748945147679325,0.748945147679325,0.0,0.05048942565917969,0.05032801628112793,-0.0001614093780517578,0.0,0.0,0.0,137.5,137.5,0.0,0.0,0.0,0.0,42
CANBusSimulator,6F. Object Path 4→5→Free,0.748945147679325,0.748945147679325,0.0,0.05053281784057617,0.05038952827453613,-0.00014328956604003906,0.0,0.0,0.0,137.5,137.5,0.0,0.0,0.0,0.0,42
