model,scenario,baseline_f1,stressed_f1,degradation_f1,baseline_mttd,stressed_mttd,degradation_mttd,baseline_fnr,stressed_fnr,degradation_fnr,baseline_nmr,stressed_nmr,degradation_nmr,noise_level,drop_prob,jitter_ms,stress_seed
CANBusSimulator,1. Parking Scenario,0.7490566037735849,0.9983221476510067,0.24926554387742184,0.05111551284790039,0.05411119718809385,0.002995684340193462,0.0,0.0,0.0,146.5,213.0,66.5,0.2,0.1,40.0,42
CANBusSimulator,2. Slowly Appearing Object: Section 5→2→1,0.9992957746478873,0.9987179487179487,-0.0005778259299386024,0.05169367790222168,0.05116105513139205,-0.0005326227708296327,0.0,0.0,0.0,127.5,169.0,41.5,0.2,0.1,40.0,42
CANBusSimulator,3. Slowly Appearing Object: Section 5→3,0.7492063492063492,0.9994646680942184,0.2502583188878692,0.05058574676513672,0.05107287883758545,0.0004871320724487288,0.0,0.0,0.0,166.0,189.5,23.5,0.2,0.1,40.0,42
CANBusSimulator,4. Slowly Appearing Object: Section 5→4,0.7492063492063492,0.9982517482517482,0.24904539904539902,0.05026102066040039,0.05087096161312527,0.0006099409527248814,0.0,0.0,0.0,167.0,194.0,27.0,0.2,0.1,40.0,42
CANBusSimulator,5A. Sudden Object Section 1,0.4992012779552716,0.9983443708609272,0.4991430929056556,0.05060386657714844,0.05090106725692749,0.00029720067977904996,0.0,0.0,0.0,0.0,50.0,50.0,0.2,0.1,40.0,42
CANBusSimulator,5B. Sudden Object Section 2,0.4992063492063492,0.9961538461538462,0.49694749694749696,0.05052065849304199,0.05085418982939287,0.00033353133635087573,0.0,0.0,0.0,69.0,92.0,23.0,0.2,0.1,40.0,42
CANBusSimulator,5C. Sudden Object Section 3,0.4992063492063492,0.9982758620689656,0.49906951286261636,0.050408124923706055,0.05193773508071899,0.001529610157012938,0.0,0.0,0.0,69.0,101.5,32.5,0.2,0.1,40.0,42
CANBusSimulator,5D. Sudden Object Section 4,0.4992063492063492,0.9992625368731564,0.5000561876668072,0.050351619720458984,0.05097821023729113,0.0006265905168321428,0.0,0.0,0.0,68.5,101.5,33.0,0.2,0.1,40.0,42
CANBusSimulator,5E. Sudden Object Section 5,0.4992012779552716,0.9990347490347491,0.4998334710794775,0.050377607345581055,0.05116440154410697,0.0007867941985259183,0.0,0.0,0.0,68.0,100.5,32.5,0.2,0.1,40.0,42
CANBusSimulator,6A. Object Path 1→2→5→Free,0.998945147679325,0.9993438320209974,0.0003986843416724506,0.050415754318237305,0.051054756692115295,0.0006390023738779907,0.0,0.0,0.0,137.5,159.5,22.0,0.2,0.1,40.0,42
CANBusSimulator,6B. Object Path 1→3→5→Free,0.9989361702127659,0.9981751824817519,-0.0007609877310140734,0.050728559494018555,0.05134415626525879,0.0006155967712402344,0.0,0.0,0.0,138.0,158.0,20.0,0.2,0.1,40.0,42
CANBusSimulator,6C. Object Path 1→4→5→Free,0.998945147679325,0.9975728155339806,-0.0013723321453443793,0.050733327865600586,0.05120666821797689,0.0004733403523763044,0.0,0.0,0.0,137.5,167.5,30.0,0.2,0.1,40.0,42
CANBusSimulator,6D. Object Path 2→5→Free,0.748945147679325,0.9993150684931507,0.2503699208138257,0.05094170570373535,0.05138801917051657,0.0004463134667812216,0.0,0.0,0.0,137.5,153.0,15.5,0.2,0.1,40.0,42
CANBusSimulator,6E. Object Path 3→5→Free,0.7489270386266095,0.9976190476190476,0.24869200899243815,0.0508425235748291,0.05070630965694305,-0.00013621391788605497,0.0,0.0,0.0,137.5,158.0,20.5,0.2,0.1,40.0,42
CANBusSimulator,6F. Object Path 4→5→Free,0.748945147679325,0.999266862170088,0.250321714490763,0.05081605911254883,0.051926580635277,0.0011105215227281695,0.0,0.0,0.0,137.5,150.0,12.5,0.2,0.1,40.0,42
